k,eps,length,L,dynprog-time,dynprog-res,LCSk-LSH-time,LCSk-LSH-res
50,1.5,5000,2,0.172261,101,0.0558498,176
50,1.5,5000,2,0.172243,102,0.104147,185
50,1.5,5000,2,0.172064,102,0.123455,172
50,1.5,5000,2,0.171711,97,0.116993,185
50,1.5,5000,2,0.172105,102,0.143694,180
50,1.5,5000,2,0.171996,101,0.0824538,172
50,1.5,5000,2,0.171971,98,0.13942,172
50,1.5,5000,2,0.172114,99,0.107259,175
50,1.5,5000,2,0.172008,102,0.119452,185
50,1.5,5000,2,0.17227,103,0.115258,185
50,1.5,10000,3,0.687353,106,0.428714,182
50,1.5,10000,3,0.68928,102,0.558337,185
50,1.5,10000,3,0.68746,102,0.357353,180
50,1.5,10000,3,0.688334,101,0.337149,195
50,1.5,10000,3,0.686144,104,0.312755,177
50,1.5,10000,3,0.686914,102,0.408097,180
50,1.5,10000,3,0.688059,102,0.477328,190
50,1.5,10000,3,0.68755,103,0.47071,185
50,1.5,10000,3,0.686122,101,0.384439,179
50,1.5,10000,3,0.688735,103,0.443465,190
50,1.5,15000,3,1.54786,102,0.786898,182
50,1.5,15000,3,1.54791,110,0.721973,189
50,1.5,15000,3,1.54818,105,0.881757,189
50,1.5,15000,3,1.54382,103,0.807747,182
50,1.5,15000,3,1.54715,106,0.496594,175
50,1.5,15000,3,1.54356,105,0.632091,177
50,1.5,15000,3,1.54846,104,0.619066,180
50,1.5,15000,3,1.54327,107,0.829541,185
50,1.5,15000,3,1.54624,105,0.741807,178
50,1.5,15000,3,1.54719,104,0.766181,178
50,1.5,20000,4,2.74346,104,1.60615,180
50,1.5,20000,4,2.74512,104,1.09817,190
50,1.5,20000,4,2.74298,106,1.26551,195
50,1.5,20000,4,2.74223,104,1.74485,175
50,1.5,20000,4,2.74547,107,1.66657,175
50,1.5,20000,4,2.74154,106,1.87989,183
50,1.5,20000,4,2.74309,103,1.39324,176
50,1.5,20000,4,2.74404,105,1.26882,178
50,1.5,20000,4,2.74179,114,0.929702,177
50,1.5,20000,4,2.74665,103,1.581,185
50,1.5,25000,4,4.28348,103,1.52361,188
50,1.5,25000,4,4.28964,104,1.85356,182
50,1.5,25000,4,4.28497,105,1.55099,182
50,1.5,25000,4,4.28776,112,2.14157,188
50,1.5,25000,4,4.29625,104,1.83892,182
50,1.5,25000,4,4.29923,147,2.18531,179
50,1.5,25000,4,4.29941,104,2.3609,188
50,1.5,25000,4,4.29785,106,1.50725,182
50,1.5,25000,4,4.29658,106,2.18275,188
50,1.5,25000,4,4.29563,114,1.58872,181
50,1.5,30000,4,6.19441,156,2.01853,182
50,1.5,30000,4,6.19047,103,2.85935,189
50,1.5,30000,4,6.18586,107,2.30397,189
50,1.5,30000,4,6.19695,116,2.98197,192
50,1.5,30000,4,6.21157,105,2.43744,179
50,1.5,30000,4,6.22108,107,2.47004,178
50,1.5,30000,4,6.18265,109,1.88737,178
50,1.5,30000,4,6.19022,108,2.91823,182
50,1.5,30000,4,6.188,110,1.76259,175
50,1.5,30000,4,6.18389,107,2.1544,178
50,1.5,35000,5,8.45083,104,4.91316,182
50,1.5,35000,5,8.39595,120,5.00514,184
50,1.5,35000,5,8.41567,109,4.1206,179
50,1.5,35000,5,8.42323,108,3.26245,178
50,1.5,35000,5,8.39993,108,5.00078,178
50,1.5,35000,5,8.73492,109,4.85886,187
50,1.5,35000,5,8.43007,113,4.77993,187
50,1.5,35000,5,8.41014,106,4.67905,187
50,1.5,35000,5,8.42721,113,3.5296,177
50,1.5,35000,5,8.47209,106,4.69954,182
50,1.5,40000,5,10.9858,107,4.87692,182
50,1.5,40000,5,10.9765,106,4.45027,182
50,1.5,40000,5,10.9806,174,5.37167,190
50,1.5,40000,5,10.9749,105,4.99609,185
50,1.5,40000,5,10.9447,106,5.95538,190
50,1.5,40000,5,10.9739,108,4.58066,185
50,1.5,40000,5,11.279,122,5.85492,180
50,1.5,40000,5,11.0068,106,5.8308,185
50,1.5,40000,5,10.9921,107,5.86852,179
