k,eps,length,L,dynprog-time,dynprog-res,LCSk-LSH-time,LCSk-LSH-res
50,1,5000,5,0.176941,104,0.22398,138
50,1,5000,5,0.171654,99,0.343698,146
50,1,5000,5,0.171666,97,0.295366,156
50,1,5000,5,0.171648,99,0.222263,146
50,1,5000,5,0.171676,97,0.369518,140
50,1,5000,5,0.171679,98,0.134067,143
50,1,5000,5,0.171451,98,0.247881,146
50,1,5000,5,0.171589,99,0.167721,142
50,1,5000,5,0.171662,97,0.243916,148
50,1,5000,5,0.171601,97,0.351027,148
50,1,10000,7,0.685346,100,0.61236,142
50,1,10000,7,0.685138,99,0.871153,146
50,1,10000,7,0.684791,99,0.698455,151
50,1,10000,7,0.685202,99,0.617996,143
50,1,10000,7,0.685138,99,1.18746,146
50,1,10000,7,0.685117,101,1.13405,148
50,1,10000,7,0.685837,102,1.32168,156
50,1,10000,7,0.685147,100,0.92412,156
50,1,10000,7,0.685364,102,1.1585,146
50,1,10000,7,0.685111,100,1.02745,144
50,1,15000,8,1.54088,101,2.39331,146
50,1,15000,8,1.54017,102,2.07617,160
50,1,15000,8,1.5401,102,2.29694,146
50,1,15000,8,1.54009,102,2.38472,145
50,1,15000,8,1.53982,100,2.26487,153
50,1,15000,8,1.53969,105,2.23274,142
50,1,15000,8,1.53996,102,2.1818,146
50,1,15000,8,1.54014,98,2.41294,144
50,1,15000,8,1.53999,100,2.19695,153
50,1,15000,8,1.53992,99,2.21758,153
50,1,20000,9,2.73774,103,3.69297,156
50,1,20000,9,2.74279,102,3.76671,156
50,1,20000,9,2.74171,100,3.6234,151
50,1,20000,9,2.74125,103,3.03728,146
50,1,20000,9,2.73717,103,3.69629,156
50,1,20000,9,2.74082,101,2.42305,142
50,1,20000,9,2.73766,102,2.53923,150
50,1,20000,9,2.7412,101,3.81507,154
50,1,20000,9,2.73732,101,3.73723,143
50,1,20000,9,2.74106,104,2.65427,156
50,1,25000,10,4.58334,107,5.82874,158
50,1,25000,10,4.28287,104,5.98571,146
50,1,25000,10,4.28313,102,4.11947,142
50,1,25000,10,4.28191,103,6.12198,146
50,1,25000,10,4.283,104,4.52434,146
50,1,25000,10,4.27724,107,5.85585,146
50,1,25000,10,4.28286,102,4.82845,158
50,1,25000,10,4.28236,107,5.78488,146
50,1,25000,10,4.28298,101,4.42616,142
50,1,25000,10,4.27723,104,4.33413,148
50,1,30000,11,6.16682,102,9.04558,146
50,1,30000,11,6.15853,102,8.74553,146
50,1,30000,11,6.15787,105,9.56462,146
50,1,30000,11,6.16752,108,5.97157,144
50,1,30000,11,6.16783,102,8.7342,146
50,1,30000,11,6.15881,105,7.83973,146
50,1,30000,11,6.15987,104,8.81236,149
50,1,30000,11,6.16854,101,7.83551,144
50,1,30000,11,6.16649,104,9.44753,153
50,1,30000,11,6.16817,104,9.27119,160
50,1,35000,12,8.38544,104,13.1023,144
50,1,35000,12,8.39535,104,12.4582,153
50,1,35000,12,8.3943,102,12.018,144
50,1,35000,12,8.38534,103,10.9811,153
50,1,35000,12,8.39484,101,12.9498,144
50,1,35000,12,8.39449,102,8.57706,144
50,1,35000,12,8.3846,102,10.0698,144
50,1,35000,12,8.39577,105,10.99,144
50,1,35000,12,8.39592,109,9.95216,144
50,1,35000,12,8.39541,109,12.1778,148
50,1,40000,13,10.9662,109,16.1783,151
50,1,40000,13,10.9639,102,12.9993,141
50,1,40000,13,10.9509,102,16.2168,141
50,1,40000,13,10.9501,105,12.354,148
50,1,40000,13,10.9952,104,14.7754,145
50,1,40000,13,10.9927,102,15.3063,145
50,1,40000,13,10.9777,101,16.8541,146
50,1,40000,13,10.9515,104,12.1318,151
50,1,40000,13,10.966,106,15.7064,146
50,1,40000,13,11.038,102,13.922,144
50,1,45000,14,13.858,102,20.2201,149
50,1,45000,14,13.8593,104,22.1291,144
50,1,45000,14,13.9515,107,19.8557,151
50,1,45000,14,13.9515,105,16.8707,144
50,1,45000,14,13.9518,105,19.2549,147
50,1,45000,14,13.8561,103,18.1157,148
50,1,45000,14,13.8585,106,18.3474,150
50,1,45000,14,13.9521,105,21.0852,150
50,1,45000,14,13.8597,106,21.9977,151
50,1,45000,14,13.8569,105,21.4774,147
50,1,50000,14,17.2222,103,25.4426,152
50,1,50000,14,17.2274,104,21.5189,145
50,1,50000,14,17.111,104,19.319,150
50,1,50000,14,17.1581,109,21.6941,144
50,1,50000,14,17.2073,104,22.7257,146
50,1,50000,14,17.1594,107,21.8202,145
50,1,50000,14,17.1757,102,27.5372,146
50,1,50000,14,17.1671,103,26.7677,144
50,1,50000,14,17.1613,104,25.7077,144
50,1,50000,14,17.1188,105,22.3536,146
50,1,55000,15,20.8122,110,33.0269,146
50,1,55000,15,20.8503,106,29.7758,146
50,1,55000,15,20.8135,106,26.5079,146
50,1,55000,15,20.8168,103,34.0299,144
50,1,55000,15,20.7579,106,25.8628,145
50,1,55000,15,20.8149,103,33.5122,153
50,1,55000,15,20.812,106,28.9407,146
50,1,55000,15,20.8537,104,29.5528,153
50,1,55000,15,20.8198,106,30.0479,143
50,1,55000,15,20.8116,103,26.9825,146
50,1,60000,16,24.7791,105,40.7326,153
50,1,60000,16,24.7148,106,37.203,141
50,1,60000,16,24.7754,109,42.3911,146
50,1,60000,16,24.7766,106,41.7563,146
50,1,60000,16,24.746,108,40.9995,146
50,1,60000,16,24.7925,107,32.3184,144
50,1,60000,16,24.7794,104,41.9463,146
50,1,60000,16,24.7978,107,40.9538,146
50,1,60000,16,24.7682,106,39.8851,146
50,1,60000,16,24.7771,104,37.3409,144
