k,eps,length,L,dynprog-time,dynprog-res,LCSk-LSH-time,LCSk-LSH-res
100,1,5000,6,0.174454,177,0.518933,285
100,1,5000,6,0.1748,192,0.34063,292
100,1,5000,6,0.174346,174,0.370208,282
100,1,5000,6,0.174462,174,0.528073,282
100,1,5000,6,0.186714,180,0.596678,287
100,1,5000,6,0.174678,175,0.296563,276
100,1,5000,6,0.174175,172,0.22502,276
100,1,5000,6,0.173321,176,0.435844,282
100,1,5000,6,0.174394,178,0.81975,297
100,1,5000,6,0.174293,174,0.490402,282
100,1,10000,8,0.696569,179,0.597648,277
100,1,10000,8,0.6972,177,0.729591,292
100,1,10000,8,0.697453,178,2.6794,292
100,1,10000,8,0.695526,177,0.827623,282
100,1,10000,8,0.695529,178,3.50482,292
100,1,10000,8,0.697217,179,0.739319,281
100,1,10000,8,0.697622,189,0.738953,288
100,1,10000,8,0.695902,182,1.07134,292
100,1,10000,8,0.697361,178,0.773212,292
100,1,10000,8,0.697423,184,0.664328,287
100,1,15000,9,1.56723,179,1.64908,280
100,1,15000,9,1.56945,183,4.17899,284
100,1,15000,9,1.56656,213,4.34709,284
100,1,15000,9,1.56888,180,4.27467,290
100,1,15000,9,1.56908,270,2.60795,288
100,1,15000,9,1.56831,180,1.66868,275
100,1,15000,9,1.56731,186,5.54439,282
100,1,15000,9,1.56779,181,3.46386,292
100,1,15000,9,1.56823,181,1.23134,285
100,1,15000,9,1.56769,183,2.07551,284
100,1,20000,10,2.78956,184,3.04993,292
100,1,20000,10,2.7874,182,4.04922,292
100,1,20000,10,2.7895,182,3.64749,279
100,1,20000,10,2.78968,180,3.67661,287
100,1,20000,10,2.79153,190,4.1607,280
100,1,20000,10,2.7911,183,9.61225,292
100,1,20000,10,2.78799,182,2.25705,280
100,1,20000,10,2.79169,183,2.3415,280
100,1,20000,10,2.79171,185,4.37825,312
100,1,20000,10,2.78538,182,2.38831,279
100,1,25000,11,4.3537,184,8.53032,285
100,1,25000,11,4.35735,188,3.5457,292
100,1,25000,11,4.35379,303,4.16188,303
100,1,25000,11,4.35508,189,6.15005,285
100,1,25000,11,4.35977,187,5.28036,292
100,1,25000,11,4.36146,184,3.73062,279
100,1,25000,11,4.35507,189,5.80203,279
100,1,25000,11,4.36143,180,3.64487,285
100,1,25000,11,4.35695,225,5.01655,279
100,1,25000,11,4.36157,248,3.83749,279
100,1,30000,12,6.27492,194,9.72544,284
100,1,30000,12,6.2657,183,14.2238,290
100,1,30000,12,6.27611,191,9.73371,275
100,1,30000,12,6.27369,184,5.94593,284
100,1,30000,12,6.26645,199,5.10974,282
100,1,30000,12,6.36739,200,8.7907,283
100,1,30000,12,6.28716,189,17.459,292
100,1,30000,12,6.26347,186,14.4207,280
100,1,30000,12,6.26563,186,7.75823,292
100,1,30000,12,6.27723,185,6.31237,277
100,1,35000,13,8.53832,183,11.4786,290
100,1,35000,13,8.54313,222,8.18063,277
100,1,35000,13,8.5448,185,9.78331,279
100,1,35000,13,8.53531,186,12.6238,281
100,1,35000,13,8.53486,205,17.978,284
100,1,35000,13,8.52822,184,21.2784,290
100,1,35000,13,8.53516,194,8.06077,279
100,1,35000,13,8.5341,182,20.9305,287
100,1,35000,13,8.52984,185,13.0042,281
100,1,35000,13,8.5358,182,12.9282,290
100,1,40000,14,11.1932,194,19.9773,289
100,1,40000,14,11.1654,203,12.5662,277
100,1,40000,14,11.1626,194,10.4816,278
100,1,40000,14,11.1509,184,15.2041,282
100,1,40000,14,11.1423,196,28.7245,292
100,1,40000,14,11.2083,184,8.05871,288
100,1,40000,14,11.1483,191,19.676,287
100,1,40000,14,11.1478,185,19.7104,289
100,1,40000,14,11.1465,185,18.5342,287
100,1,40000,14,11.1491,183,11.084,292
100,1,45000,14,14.1145,188,28.4237,285
100,1,45000,14,14.1208,186,13.7508,270
100,1,45000,14,14.1184,191,10.2636,278
100,1,45000,14,14.1016,233,22.9411,285
100,1,45000,14,14.1113,231,15.7542,282
100,1,45000,14,14.1949,184,12.8416,282
100,1,45000,14,14.1335,186,13.8571,285
100,1,45000,14,14.1152,186,15.1737,285
100,1,45000,14,14.1095,184,27.8615,279
100,1,45000,14,14.1197,185,10.5814,274
100,1,50000,15,17.461,279,14.6014,282
100,1,50000,15,17.4181,192,13.5332,267
100,1,50000,15,17.4175,269,18.877,276
100,1,50000,15,17.4234,204,16.1153,282
100,1,50000,15,17.413,191,14.2267,275
100,1,50000,15,17.4405,185,49.7918,288
100,1,50000,15,17.4273,191,16.3905,276
100,1,50000,15,17.4273,227,27.1799,292
100,1,50000,15,17.4215,183,36.0388,285
100,1,50000,15,17.4202,186,16.3633,276
100,1,55000,15,21.0963,185,21.2979,276
100,1,55000,15,21.2034,185,19.7031,287
100,1,55000,15,21.0801,244,21.6756,276
100,1,55000,15,21.0757,257,47.0057,287
100,1,55000,15,21.0763,193,19.4768,281
100,1,55000,15,21.0592,187,17.1729,271
100,1,55000,15,21.0852,312,29.1096,310
100,1,55000,15,21.1092,194,28.4165,283
100,1,55000,15,21.1791,207,17.0065,276
100,1,55000,15,21.0785,188,17.5079,282
100,1,60000,16,25.0983,266,21.0155,288
100,1,60000,16,25.1289,304,19.5932,303
100,1,60000,16,25.1134,187,19.3419,270
100,1,60000,16,25.0884,191,26.3247,276
100,1,60000,16,25.1369,203,24.3961,282
100,1,60000,16,25.1394,188,41.3715,275
100,1,60000,16,25.08,201,32.7417,277
100,1,60000,16,25.1109,205,71.1241,288
100,1,60000,16,25.0897,239,21.6986,276
100,1,60000,16,25.1077,185,28.1325,277
