k,eps,length,L,dynprog-time,dynprog-res,LCSk-LSH-time,LCSk-LSH-res
10,1.5,5000,3,0.175012,33,0.158395,42
10,1.5,5000,3,0.175588,33,0.16035,48
10,1.5,5000,3,0.175133,34,0.17297,43
10,1.5,5000,3,0.175189,33,0.143943,44
10,1.5,5000,3,0.174832,33,0.158347,45
10,1.5,5000,3,0.174925,32,0.20525,48
10,1.5,5000,3,0.175134,33,0.248961,48
10,1.5,5000,3,0.174741,34,0.315732,45
10,1.5,5000,3,0.175545,34,0.251079,48
10,1.5,5000,3,0.174814,34,0.141934,45
10,1.5,10000,3,0.698298,37,1.16598,48
10,1.5,10000,3,0.699407,36,0.592054,43
10,1.5,10000,3,0.698945,37,0.683185,45
10,1.5,10000,3,0.716318,35,0.613382,48
10,1.5,10000,3,0.704845,33,0.925224,53
10,1.5,10000,3,0.700654,36,0.70527,48
10,1.5,10000,3,0.699554,36,0.52506,45
10,1.5,10000,3,0.699028,36,0.650517,48
10,1.5,10000,3,0.698585,35,0.655862,48
10,1.5,10000,3,0.701599,34,0.65179,45
10,1.5,15000,4,1.5693,38,1.37325,43
10,1.5,15000,4,1.57028,50,1.98552,58
10,1.5,15000,4,1.57576,37,1.4296,44
10,1.5,15000,4,1.57145,36,1.81674,50
10,1.5,15000,4,1.5713,50,1.47451,50
10,1.5,15000,4,1.57026,37,1.66173,48
10,1.5,15000,4,1.57711,42,1.60198,48
10,1.5,15000,4,1.57056,37,1.36414,43
10,1.5,15000,4,1.57078,61,1.68417,72
10,1.5,15000,4,1.59362,36,1.36659,43
10,1.5,20000,4,2.79383,38,2.52167,45
10,1.5,20000,4,2.79137,49,2.8193,48
10,1.5,20000,4,2.79133,36,3.0387,48
10,1.5,20000,4,2.7912,35,2.80319,48
10,1.5,20000,4,2.79431,47,2.98293,46
10,1.5,20000,4,2.79101,39,2.65315,44
10,1.5,20000,4,2.79036,45,2.67432,46
10,1.5,20000,4,2.79169,65,3.64272,73
10,1.5,20000,4,2.79043,37,2.52675,46
10,1.5,20000,4,2.79013,40,2.99327,48
10,1.5,25000,4,4.35777,38,7.70777,48
10,1.5,25000,4,4.36066,38,3.80826,45
10,1.5,25000,4,4.36354,36,5.2325,48
10,1.5,25000,4,4.36102,41,3.87533,43
10,1.5,25000,4,4.36228,59,4.12398,58
10,1.5,25000,4,4.39137,37,4.45816,48
10,1.5,25000,4,4.3631,42,3.71916,46
10,1.5,25000,4,4.3574,37,4.49776,45
10,1.5,25000,4,4.36654,48,7.39306,54
10,1.5,25000,4,4.35959,40,4.55926,45
10,1.5,30000,5,6.28558,45,6.9128,46
10,1.5,30000,5,6.29585,64,6.96462,65
10,1.5,30000,5,6.29129,39,8.07678,49
10,1.5,30000,5,6.28466,45,8.19653,50
10,1.5,30000,5,6.28605,42,6.73752,48
10,1.5,30000,5,6.27869,37,6.9078,47
10,1.5,30000,5,6.36556,37,6.83861,50
10,1.5,30000,5,6.32351,48,7.41707,48
10,1.5,30000,5,6.29664,38,8.07969,48
10,1.5,30000,5,6.34151,39,6.92767,49
10,1.5,35000,5,8.5626,48,12.0354,51
10,1.5,35000,5,8.56779,41,12.007,51
10,1.5,35000,5,8.56257,37,10.2048,48
10,1.5,35000,5,8.54272,42,9.55173,45
10,1.5,35000,5,8.58533,37,9.994,46
10,1.5,35000,5,8.55966,36,9.80142,45
10,1.5,35000,5,8.56181,57,10.0752,57
10,1.5,35000,5,8.55218,54,9.6859,50
10,1.5,35000,5,8.55468,37,11.2506,49
10,1.5,35000,5,8.55063,41,10.8688,51
10,1.5,40000,5,11.1825,60,12.2448,61
10,1.5,40000,5,11.1891,46,14.6285,50
10,1.5,40000,5,11.1945,53,13.9431,53
10,1.5,40000,5,11.2129,39,12.9554,46
10,1.5,40000,5,11.1774,43,11.8987,43
10,1.5,40000,5,11.1921,46,15.3303,51
10,1.5,40000,5,11.153,37,12.4534,50
10,1.5,40000,5,11.1716,46,11.8733,45
10,1.5,40000,5,11.1712,69,14.972,68
10,1.5,40000,5,11.1863,47,14.4282,48
10,1.5,45000,5,14.1601,70,15.416,67
10,1.5,45000,5,14.139,44,15.0607,44
10,1.5,45000,5,14.1371,60,15.6864,59
10,1.5,45000,5,14.1312,53,15.3709,51
10,1.5,45000,5,14.187,3199,80.4191,3196
10,1.5,45000,5,14.1314,38,16.5147,48
10,1.5,45000,5,14.1539,50,16.285,51
10,1.5,45000,5,14.1343,55,16.9067,52
10,1.5,45000,5,14.1127,57,15.3662,55
10,1.5,45000,5,14.1577,41,15.2831,45
10,1.5,50000,5,17.4555,49,25.8193,48
10,1.5,50000,5,17.4714,40,18.8293,48
10,1.5,50000,5,17.4244,1218,37.9363,1216
10,1.5,50000,5,17.4439,39,24.5357,48
10,1.5,50000,5,17.4518,40,21.0983,48
10,1.5,50000,5,17.4272,38,19.9895,46
10,1.5,50000,5,17.4268,38,19.0104,45
10,1.5,50000,5,17.4258,38,19.9515,45
10,1.5,50000,5,17.4669,39,18.9809,43
10,1.5,50000,5,17.4338,60,18.6566,57
10,1.5,55000,5,21.1631,37,23.0993,42
10,1.5,55000,5,21.2667,134,28.0461,132
10,1.5,55000,5,21.1865,70,22.9674,66
10,1.5,55000,5,21.1101,38,23.824,49
10,1.5,55000,5,21.1252,48,25.6146,49
10,1.5,55000,5,21.0882,70,23.1346,64
10,1.5,55000,5,21.2206,82,25.76,80
10,1.5,55000,5,21.0856,37,26.312,49
10,1.5,55000,5,21.0864,56,27.8794,57
10,1.5,55000,5,21.0849,42,25.9532,46
10,1.5,60000,6,25.0873,55,32.6313,51
10,1.5,60000,6,25.1764,38,34.4499,50
10,1.5,60000,6,25.1436,40,45.8569,50
10,1.5,60000,6,25.09,64,33.3153,62
10,1.5,60000,6,25.0924,1346,69.4288,1345
10,1.5,60000,6,25.1179,115,34.9369,111
10,1.5,60000,6,25.1562,38,34.2016,53
10,1.5,60000,6,25.0989,191,35.8752,188
10,1.5,60000,6,25.21,43,33.6677,48
10,1.5,60000,6,25.1093,67,35.5061,58
