k,eps,length,L,dynprog-time,dynprog-res,LCSk-LSH-time,LCSk-LSH-res
100,1.5,5000,3,0.180291,170,0.65797,351
100,1.5,5000,3,0.174528,172,0.19315,345
100,1.5,5000,3,0.175241,173,0.122732,343
100,1.5,5000,3,0.174932,177,0.138566,348
100,1.5,5000,3,0.174904,173,0.287967,341
100,1.5,5000,3,0.174596,173,0.301718,351
100,1.5,5000,3,0.175147,176,0.185754,351
100,1.5,5000,3,0.174781,172,0.483281,351
100,1.5,5000,3,0.17508,178,0.0885114,351
100,1.5,5000,3,0.174826,175,0.257397,346
100,1.5,10000,3,0.699399,177,0.540565,348
100,1.5,10000,3,0.699368,176,0.662339,348
100,1.5,10000,3,0.699702,176,0.521643,351
100,1.5,10000,3,0.699338,176,0.361141,351
100,1.5,10000,3,0.699617,182,1.54204,349
100,1.5,10000,3,0.699323,177,0.548984,351
100,1.5,10000,3,0.699432,176,0.249228,351
100,1.5,10000,3,0.699645,177,1.24189,351
100,1.5,10000,3,0.69948,180,0.685383,351
100,1.5,10000,3,0.699744,176,0.517378,346
100,1.5,15000,4,1.57352,178,1.14356,351
100,1.5,15000,4,1.57285,177,1.97747,351
100,1.5,15000,4,1.57304,179,2.11472,351
100,1.5,15000,4,1.57346,181,0.547359,345
100,1.5,15000,4,1.57361,177,1.55211,351
100,1.5,15000,4,1.57329,177,1.61802,350
100,1.5,15000,4,1.57333,176,0.967743,351
100,1.5,15000,4,1.57375,180,0.737351,343
100,1.5,15000,4,1.5729,176,1.57912,350
100,1.5,15000,4,1.57376,181,0.674937,350
100,1.5,20000,4,2.79671,180,0.814976,342
100,1.5,20000,4,2.79661,177,1.91546,347
100,1.5,20000,4,2.79668,176,3.42696,351
100,1.5,20000,4,2.79812,179,1.85817,346
100,1.5,20000,4,2.79665,177,1.50735,348
100,1.5,20000,4,2.79761,184,5.32792,346
100,1.5,20000,4,2.79686,180,1.11712,340
100,1.5,20000,4,2.7971,178,0.699148,337
100,1.5,20000,4,2.7968,183,1.59337,351
100,1.5,20000,4,2.79697,181,1.75003,351
100,1.5,25000,4,4.37827,180,3.04727,362
100,1.5,25000,4,4.37143,179,2.22689,341
100,1.5,25000,4,4.36987,178,1.57384,353
100,1.5,25000,4,4.38047,179,7.50647,359
100,1.5,25000,4,4.37008,180,4.92188,365
100,1.5,25000,4,4.37021,177,2.04463,353
100,1.5,25000,4,4.37247,178,4.58036,353
100,1.5,25000,4,4.36143,179,0.959606,348
100,1.5,25000,4,4.35948,177,4.09609,353
100,1.5,25000,4,4.35902,181,3.5311,353
100,1.5,30000,5,6.27841,179,4.80248,346
100,1.5,30000,5,6.28663,181,4.88225,351
100,1.5,30000,5,6.27792,181,2.41716,349
100,1.5,30000,5,6.33032,179,1.95673,349
100,1.5,30000,5,6.28664,186,8.28214,351
100,1.5,30000,5,6.2872,180,2.66062,351
100,1.5,30000,5,6.2936,180,6.21151,349
100,1.5,30000,5,6.29311,181,2.90388,346
