k,eps,length,L,dynprog-time,dynprog-res,LCSk-LSH-time,LCSk-LSH-res
10,1,5000,6,0.180357,33,0.393167,36
10,1,5000,6,0.175009,32,0.696045,39
10,1,5000,6,0.174996,32,0.377077,39
10,1,5000,6,0.174718,33,0.884886,43
10,1,5000,6,0.174712,35,0.609887,39
10,1,5000,6,0.175013,34,0.685722,37
10,1,5000,6,0.174797,36,0.322538,41
10,1,5000,6,0.174923,31,0.533074,39
10,1,5000,6,0.174815,32,0.504253,39
10,1,5000,6,0.174797,33,0.536374,38
10,1,10000,8,0.697758,33,3.86563,43
10,1,10000,8,0.698158,34,1.66583,37
10,1,10000,8,0.697784,33,2.6497,43
10,1,10000,8,0.697573,35,3.1729,43
10,1,10000,8,0.697992,35,2.63659,40
10,1,10000,8,0.697992,34,3.84911,43
10,1,10000,8,0.697675,35,2.98859,48
10,1,10000,8,0.697819,33,2.25669,39
10,1,10000,8,0.697876,34,1.69216,34
10,1,10000,8,0.697768,32,1.94901,36
10,1,15000,9,1.56949,37,3.66158,41
10,1,15000,9,1.57155,39,3.96817,42
10,1,15000,9,1.56909,34,4.28256,43
10,1,15000,9,1.5709,35,4.79773,41
10,1,15000,9,1.57138,36,3.97775,39
10,1,15000,9,1.5692,35,4.90056,41
10,1,15000,9,1.58624,36,3.78364,39
10,1,15000,9,1.57332,33,5.35993,39
10,1,15000,9,1.57122,33,4.44563,41
10,1,15000,9,1.56932,35,3.82364,43
10,1,20000,10,2.79288,35,12.2727,43
10,1,20000,10,2.79184,36,9.81967,48
10,1,20000,10,2.79512,37,8.11941,43
10,1,20000,10,2.78896,36,7.81709,39
10,1,20000,10,2.79711,36,8.81549,43
10,1,20000,10,2.79655,34,8.19999,39
10,1,20000,10,2.79156,39,7.23211,40
10,1,20000,10,2.79295,38,10.0164,41
10,1,20000,10,2.79865,35,7.73364,38
10,1,20000,10,2.79652,37,14.8292,39
10,1,25000,11,4.36428,37,15.0826,42
10,1,25000,11,4.37091,36,12.5598,39
10,1,25000,11,4.3678,35,13.0134,43
10,1,25000,11,4.36208,35,13.9672,46
10,1,25000,11,4.36924,35,12.8181,37
10,1,25000,11,4.3672,38,12.0058,36
10,1,25000,11,4.36183,35,12.939,42
10,1,25000,11,4.36432,38,12.4031,39
10,1,25000,11,4.36218,35,15.3602,42
10,1,25000,11,4.36253,35,12.4504,37
10,1,30000,12,6.28436,36,21.4678,39
10,1,30000,12,6.28181,36,19.2642,38
10,1,30000,12,6.29952,35,19.9366,36
10,1,30000,12,6.29221,36,21.8811,41
10,1,30000,12,6.37229,38,19.7442,38
10,1,30000,12,6.28042,36,18.8836,37
10,1,30000,12,6.2811,36,19.8282,39
10,1,30000,12,6.28624,38,18.8645,41
10,1,30000,12,6.2924,37,18.6545,36
10,1,30000,12,6.28437,38,19.4551,40
10,1,35000,13,8.55442,39,30.0339,40
10,1,35000,13,8.54964,35,30.5648,40
10,1,35000,13,8.55982,36,28.3819,42
10,1,35000,13,8.54983,37,30.074,37
10,1,35000,13,8.56622,36,28.3672,40
10,1,35000,13,8.58093,38,34.4963,42
10,1,35000,13,8.57224,36,33.3608,40
10,1,35000,13,8.55069,36,27.8194,38
10,1,35000,13,8.55207,35,30.6813,40
10,1,35000,13,8.54963,37,28.3494,39
10,1,40000,14,11.1658,36,44.2317,36
10,1,40000,14,11.2705,39,45.6953,38
10,1,40000,14,11.1544,35,41.3016,39
10,1,40000,14,11.1536,37,48.8755,37
10,1,40000,14,11.1721,36,41.194,39
10,1,40000,14,11.1524,37,46.1963,38
10,1,40000,14,11.1522,36,42.7098,38
10,1,40000,14,11.1535,37,45.6497,36
10,1,40000,14,11.1691,36,45.7464,43
10,1,40000,14,11.175,37,61.4924,39
10,1,45000,14,14.1417,38,54.6277,43
10,1,45000,14,14.1436,38,50.8851,40
10,1,45000,14,14.1171,38,55.3769,42
10,1,45000,14,14.1423,37,57.1796,40
10,1,45000,14,14.1423,36,54.8791,40
10,1,45000,14,14.1175,36,52.9508,40
10,1,45000,14,14.1415,42,59.4487,41
10,1,45000,14,14.1432,38,54.0417,38
10,1,45000,14,14.1412,38,61.127,41
10,1,45000,14,14.1431,38,52.876,41
10,1,50000,15,17.4812,36,66.183,39
10,1,50000,15,17.4472,38,65.2032,39
10,1,50000,15,17.43,41,66.5644,40
10,1,50000,15,17.4313,37,68.4507,40
10,1,50000,15,17.4423,36,71.802,36
10,1,50000,15,17.4323,40,65.4651,39
10,1,50000,15,17.4578,36,67.2174,42
10,1,50000,15,17.4289,38,65.7027,37
10,1,50000,15,17.4465,40,65.7485,37
10,1,50000,15,17.4318,36,66.3038,39
10,1,55000,15,21.0907,36,84.7579,39
10,1,55000,15,21.1262,38,83.8356,39
10,1,55000,15,21.0997,38,79.5967,36
10,1,55000,15,21.0875,36,81.6919,39
10,1,55000,15,21.0897,36,81.6972,38
10,1,55000,15,21.0911,38,80.5498,37
10,1,55000,15,21.0919,37,98.7348,46
10,1,55000,15,21.1254,37,80.576,36
10,1,55000,15,21.0923,39,83.3373,39
10,1,55000,15,21.2149,38,80.5592,36
10,1,60000,16,25.1024,39,101.106,37
10,1,60000,16,25.0993,39,102.249,43
10,1,60000,16,25.1028,37,102.481,41
10,1,60000,16,25.1107,40,103.116,43
10,1,60000,16,25.1023,39,101.696,37
10,1,60000,16,25.0986,36,103.478,37
10,1,60000,16,25.1211,37,104.982,43
10,1,60000,16,25.0998,38,104.384,39
10,1,60000,16,25.1009,36,109.329,37
10,1,60000,16,25.0979,38,101.081,41
