k,eps,length,L,dynprog-time,dynprog-res,LCSk-LSH-time,LCSk-LSH-res
25,2,5000,2,0.152736,61,0.0875672,110
25,2,5000,2,0.153667,60,0.105005,115
25,2,5000,2,0.153075,58,0.0905352,112
25,2,5000,2,0.153687,60,0.106733,113
25,2,5000,2,0.153081,61,0.0739987,109
25,2,5000,2,0.153061,59,0.0881515,109
25,2,5000,2,0.152806,65,0.0942615,110
25,2,5000,2,0.153113,60,0.0825915,112
25,2,5000,2,0.153673,62,0.0994041,126
25,2,5000,2,0.152992,59,0.0920652,112
25,2,10000,2,0.612741,63,0.205271,109
25,2,10000,2,0.611697,65,0.197736,112
25,2,10000,2,0.611338,63,0.271679,115
25,2,10000,2,0.611309,62,0.219249,113
25,2,10000,2,0.610257,62,0.223362,113
25,2,10000,2,0.612233,64,0.210175,122
25,2,10000,2,0.612262,64,0.224726,110
25,2,10000,2,0.611649,61,0.220919,105
25,2,10000,2,0.611428,61,0.313411,113
25,2,10000,2,0.61168,60,0.217667,116
25,2,15000,2,1.37306,60,0.378445,116
25,2,15000,2,1.37649,62,0.451674,116
25,2,15000,2,1.37358,64,0.348783,110
25,2,15000,2,1.37549,68,0.308948,110
25,2,15000,2,1.37576,65,0.318139,119
25,2,15000,2,1.3758,62,0.320745,116
25,2,15000,2,1.37366,69,0.313745,115
25,2,15000,2,1.3751,61,0.218922,112
25,2,15000,2,1.37489,61,0.354009,115
25,2,15000,2,1.37592,97,0.381825,115
25,2,20000,2,2.44243,68,0.419876,111
25,2,20000,2,2.44586,61,0.469061,116
25,2,20000,2,2.44505,63,0.445343,116
25,2,20000,2,2.44026,86,0.408742,113
25,2,20000,2,2.44276,63,0.381843,116
25,2,20000,2,2.44436,67,0.560148,114
25,2,20000,2,2.43711,64,0.200467,112
25,2,20000,2,2.44236,67,0.432905,117
25,2,20000,2,2.44292,61,0.44017,120
25,2,20000,2,2.44273,62,0.406171,117
25,2,25000,2,3.81702,63,0.680473,116
25,2,25000,2,3.81953,70,0.689381,110
25,2,25000,2,3.82013,65,0.535778,115
25,2,25000,2,3.81706,1236,1.47677,1240
25,2,25000,2,3.81714,71,0.568994,113
25,2,25000,2,3.81745,61,0.638418,115
25,2,25000,2,3.81835,65,0.578338,109
25,2,25000,2,3.81582,64,0.568356,109
25,2,25000,2,3.82117,63,0.386529,116
25,2,25000,2,3.81624,64,0.55666,121
25,2,30000,2,5.49421,66,0.888937,113
25,2,30000,2,5.49164,69,0.736585,115
25,2,30000,2,5.49931,76,0.855181,116
25,2,30000,2,5.49754,72,0.671802,110
25,2,30000,2,5.49719,64,1.00959,116
25,2,30000,2,5.49877,65,0.85707,119
25,2,30000,2,5.49942,71,0.472039,117
25,2,30000,2,5.50029,68,0.684361,116
25,2,30000,2,5.50112,63,0.544316,109
25,2,30000,2,5.49772,66,0.730255,122
25,2,35000,3,7.4829,82,1.33165,117
25,2,35000,3,7.4824,64,1.91688,112
25,2,35000,3,7.48284,69,1.30016,122
25,2,35000,3,7.48517,64,1.27881,106
25,2,35000,3,7.47792,64,0.890394,116
25,2,35000,3,7.4762,67,0.848037,114
25,2,35000,3,7.49916,65,1.16977,122
25,2,35000,3,7.48161,67,1.01127,111
25,2,35000,3,7.48956,74,1.1703,116
25,2,35000,3,7.48335,66,1.2234,122
25,2,40000,3,9.77155,76,1.06613,115
25,2,40000,3,9.77252,88,1.41969,110
25,2,40000,3,9.77715,67,1.26346,112
25,2,40000,3,9.77458,91,1.52961,112
25,2,40000,3,9.76199,66,1.38799,116
25,2,40000,3,9.76901,65,0.708888,113
25,2,40000,3,9.77363,68,1.45452,124
25,2,40000,3,9.76951,69,1.37376,116
25,2,40000,3,9.77353,73,1.07886,110
25,2,40000,3,9.77371,74,1.07829,112
25,2,45000,3,12.3765,78,1.30735,115
25,2,45000,3,12.3697,81,2.05483,111
25,2,45000,3,12.407,65,0.958144,115
25,2,45000,3,12.3726,70,1.3931,127
