k,eps,length,L,dynprog-time,dynprog-res,LCSk-LSH-time,LCSk-LSH-res
10,1.75,5000,2,0.153035,32,0.0765598,44
10,1.75,5000,2,0.152894,31,0.0584906,45
10,1.75,5000,2,0.153246,33,0.0776149,48
10,1.75,5000,2,0.152685,33,0.0755423,46
10,1.75,5000,2,0.153098,32,0.0876729,44
10,1.75,5000,2,0.152981,33,0.068828,48
10,1.75,5000,2,0.152964,32,0.0736986,44
10,1.75,5000,2,0.15257,32,0.082117,44
10,1.75,5000,2,0.152944,34,0.0758616,46
10,1.75,5000,2,0.153343,35,0.078984,48
10,1.75,10000,2,0.610411,34,0.100086,49
10,1.75,10000,2,0.611632,34,0.159323,48
10,1.75,10000,2,0.610577,33,0.167123,43
10,1.75,10000,2,0.610849,36,0.183926,45
10,1.75,10000,2,0.611259,37,0.150802,47
10,1.75,10000,2,0.610778,33,0.152846,46
10,1.75,10000,2,0.611086,34,0.126713,47
10,1.75,10000,2,0.61043,33,0.084795,48
10,1.75,10000,2,0.610623,33,0.105506,47
10,1.75,10000,2,0.610699,35,0.108868,49
10,1.75,15000,3,1.37389,33,0.23488,48
10,1.75,15000,3,1.37318,35,0.388589,50
10,1.75,15000,3,1.37435,34,0.235659,45
10,1.75,15000,3,1.37392,35,0.391032,53
10,1.75,15000,3,1.37358,35,0.225385,45
10,1.75,15000,3,1.37311,35,0.373344,53
10,1.75,15000,3,1.37345,35,0.383018,51
10,1.75,15000,3,1.37428,35,0.430707,48
10,1.75,15000,3,1.37314,35,0.290176,48
10,1.75,15000,3,1.37365,35,0.226235,46
10,1.75,20000,3,2.43904,35,0.565862,45
10,1.75,20000,3,2.43911,36,0.544381,53
10,1.75,20000,3,2.44116,35,0.37399,45
10,1.75,20000,3,2.43976,35,0.61202,47
10,1.75,20000,3,2.44209,34,0.449211,49
10,1.75,20000,3,2.44024,36,0.257839,45
10,1.75,20000,3,2.44236,37,0.541108,54
10,1.75,20000,3,2.43971,35,0.533983,47
10,1.75,20000,3,2.43999,35,0.359951,49
10,1.75,20000,3,2.44044,34,0.522268,46
10,1.75,25000,3,3.81259,36,0.707623,47
10,1.75,25000,3,3.81524,36,0.695009,52
10,1.75,25000,3,3.8136,34,0.486255,48
10,1.75,25000,3,3.81079,37,0.723592,50
10,1.75,25000,3,3.81323,36,0.424763,50
10,1.75,25000,3,3.81443,36,0.316343,45
10,1.75,25000,3,3.81647,35,0.664075,52
10,1.75,25000,3,3.81333,34,0.674896,50
10,1.75,25000,3,3.81405,35,0.691071,52
10,1.75,25000,3,3.8149,37,0.662544,50
10,1.75,30000,3,5.48997,35,0.512688,48
10,1.75,30000,3,5.49012,38,0.832024,51
