k,eps,length,L,dynprog-time,dynprog-res,LCSk-LSH-time,LCSk-LSH-res
25,1.25,5000,3,0.153264,61,0.132406,80
25,1.25,5000,3,0.1537,59,0.0647194,80
25,1.25,5000,3,0.153221,59,0.14339,88
25,1.25,5000,3,0.153431,59,0.0877795,88
25,1.25,5000,3,0.153311,59,0.154696,93
25,1.25,5000,3,0.153473,59,0.127348,90
25,1.25,5000,3,0.153589,60,0.0899838,83
25,1.25,5000,3,0.153317,59,0.125579,93
25,1.25,5000,3,0.152781,59,0.136961,88
25,1.25,5000,3,0.153711,59,0.133425,91
25,1.25,10000,4,0.609764,62,0.3881,84
25,1.25,10000,4,0.611521,61,0.3987,87
25,1.25,10000,4,0.611737,61,0.229594,88
25,1.25,10000,4,0.611554,63,0.372353,90
25,1.25,10000,4,0.611222,62,0.310141,89
25,1.25,10000,4,0.611457,63,0.365981,87
25,1.25,10000,4,0.611999,72,0.379258,90
25,1.25,10000,4,0.610978,64,0.334542,86
25,1.25,10000,4,0.611356,61,0.396419,93
25,1.25,10000,4,0.609128,60,0.37091,88
25,1.25,15000,5,1.37623,63,0.785203,93
25,1.25,15000,5,1.37643,62,0.718927,88
25,1.25,15000,5,1.37499,63,0.700771,90
25,1.25,15000,5,1.3735,61,0.751549,88
25,1.25,15000,5,1.37399,75,0.730385,81
25,1.25,15000,5,1.37429,63,0.732586,92
25,1.25,15000,5,1.37614,64,0.775543,87
25,1.25,15000,5,1.37598,63,0.682136,87
25,1.25,15000,5,1.37531,61,0.717053,87
25,1.25,15000,5,1.41417,64,0.69969,87
25,1.25,20000,6,2.44377,61,1.20653,87
25,1.25,20000,6,2.44247,65,1.18222,90
25,1.25,20000,6,2.44391,62,1.24486,87
25,1.25,20000,6,2.44588,65,0.968534,89
25,1.25,20000,6,2.4422,65,1.26206,92
25,1.25,20000,6,2.44332,64,1.27544,92
25,1.25,20000,6,2.44038,61,1.22555,98
25,1.25,20000,6,2.44291,63,0.685654,91
25,1.25,20000,6,2.44311,62,0.538876,88
25,1.25,20000,6,2.44246,62,1.18508,90
25,1.25,25000,6,3.82138,87,1.97888,88
25,1.25,25000,6,3.81937,62,0.659583,81
25,1.25,25000,6,3.81607,65,1.51448,87
25,1.25,25000,6,3.89015,64,0.843032,92
25,1.25,25000,6,3.84806,85,1.58105,86
25,1.25,25000,6,3.81906,133,2.15794,135
25,1.25,25000,6,3.81263,63,1.11135,88
25,1.25,25000,6,3.81766,67,1.66954,84
25,1.25,25000,6,3.81675,62,1.51561,85
25,1.25,25000,6,3.81648,63,0.842073,81
25,1.25,30000,7,5.53612,64,2.14537,87
25,1.25,30000,7,5.49695,65,1.45886,90
25,1.25,30000,7,5.49502,66,2.3343,87
25,1.25,30000,7,5.4926,66,2.21672,91
25,1.25,30000,7,5.49773,65,2.11415,87
25,1.25,30000,7,5.50069,64,2.13141,87
25,1.25,30000,7,5.49834,67,2.29829,91
25,1.25,30000,7,5.49314,63,1.89944,90
25,1.25,30000,7,5.49065,73,0.977004,84
25,1.25,30000,7,5.49473,65,2.30104,91
25,1.25,35000,7,7.46895,63,2.44646,98
25,1.25,35000,7,7.47529,63,2.66683,92
25,1.25,35000,7,7.48531,80,1.83924,88
25,1.25,35000,7,7.48252,65,2.69208,93
25,1.25,35000,7,7.54505,67,2.10951,87
25,1.25,35000,7,7.49547,122,1.96247,118
25,1.25,35000,7,7.48525,63,2.84727,86
25,1.25,35000,7,7.48554,64,2.58423,87
25,1.25,35000,7,7.47572,71,2.08893,93
25,1.25,35000,7,7.48254,66,2.38265,89
25,1.25,40000,7,9.76777,71,2.69474,91
25,1.25,40000,7,9.76551,84,2.97473,87
25,1.25,40000,7,9.76849,132,4.40671,136
25,1.25,40000,7,9.76271,64,2.62849,93
25,1.25,40000,7,9.77503,72,3.11527,89
25,1.25,40000,7,9.77429,115,3.36924,114
25,1.25,40000,7,9.7676,67,3.10187,87
25,1.25,40000,7,9.76692,66,1.57606,90
25,1.25,40000,7,9.81348,81,3.84578,92
25,1.25,40000,7,9.79252,91,3.05313,91
25,1.25,45000,8,12.3637,149,6.05089,170
25,1.25,45000,8,12.3695,64,3.24198,87
25,1.25,45000,8,12.3682,70,3.33264,89
25,1.25,45000,8,12.3668,87,3.83358,87
25,1.25,45000,8,12.3885,119,2.65406,115
25,1.25,45000,8,12.3626,70,3.69769,87
25,1.25,45000,8,12.3642,66,4.04867,91
25,1.25,45000,8,12.4195,65,3.85529,87
