k,eps,length,L,dynprog-time,dynprog-res,LCSk-LSH-time,LCSk-LSH-res
50,1.25,5000,3,0.153399,95,0.104628,162
50,1.25,5000,3,0.15334,97,0.150793,158
50,1.25,5000,3,0.153598,97,0.148639,158
50,1.25,5000,3,0.153686,101,0.160505,153
50,1.25,5000,3,0.153613,97,0.15181,164
50,1.25,5000,3,0.15337,97,0.150509,164
50,1.25,5000,3,0.15342,98,0.148216,166
50,1.25,5000,3,0.153162,103,0.147232,161
50,1.25,5000,3,0.153365,100,0.15482,173
50,1.25,5000,3,0.15376,97,0.163266,170
50,1.25,10000,4,0.613135,99,0.408015,161
50,1.25,10000,4,0.614037,100,0.409898,161
50,1.25,10000,4,0.611017,101,0.244481,161
50,1.25,10000,4,0.612861,102,0.383016,161
50,1.25,10000,4,0.612924,102,0.396995,164
50,1.25,10000,4,0.611303,102,0.446368,164
50,1.25,10000,4,0.611046,100,0.502465,174
50,1.25,10000,4,0.614599,104,0.283155,156
50,1.25,10000,4,0.612726,99,0.469585,159
50,1.25,10000,4,0.613814,102,0.442819,164
50,1.25,15000,5,1.38299,102,0.875929,162
50,1.25,15000,5,1.38152,104,0.854802,167
50,1.25,15000,5,1.37886,100,0.796436,164
50,1.25,15000,5,1.37903,103,0.909835,167
50,1.25,15000,5,1.37949,102,0.604134,155
50,1.25,15000,5,1.37937,101,0.411775,162
50,1.25,15000,5,1.37477,102,0.612625,164
50,1.25,15000,5,1.37606,101,0.839739,161
50,1.25,15000,5,1.37612,102,0.739059,162
50,1.25,15000,5,1.37451,100,0.811465,158
50,1.25,20000,6,2.4525,101,1.68904,161
50,1.25,20000,6,2.44347,101,0.876374,166
50,1.25,20000,6,2.45015,101,1.32331,156
50,1.25,20000,6,2.45274,103,1.51101,160
50,1.25,20000,6,2.44419,105,1.48512,164
50,1.25,20000,6,2.44128,102,0.936143,164
50,1.25,20000,6,2.44293,103,1.00926,155
50,1.25,20000,6,2.45214,103,0.86924,156
50,1.25,20000,6,2.45197,102,1.60343,158
50,1.25,20000,6,2.44266,104,1.22854,162
50,1.25,25000,6,3.81754,103,1.64094,158
50,1.25,25000,6,3.81624,103,1.15062,156
50,1.25,25000,6,3.82904,103,1.65373,164
50,1.25,25000,6,3.8281,101,0.981735,173
50,1.25,25000,6,3.82927,105,1.12887,159
50,1.25,25000,6,3.81501,103,1.76249,160
50,1.25,25000,6,3.83036,102,1.96188,169
50,1.25,25000,6,3.82899,101,1.56244,169
50,1.25,25000,6,3.82905,100,1.15337,161
50,1.25,25000,6,3.8315,104,1.77132,169
50,1.25,30000,7,5.51678,102,2.32373,159
50,1.25,30000,7,5.56626,108,2.33234,169
50,1.25,30000,7,5.49594,102,1.26466,160
50,1.25,30000,7,5.49759,102,2.44932,166
50,1.25,30000,7,5.51483,102,1.45949,165
50,1.25,30000,7,5.51291,103,2.77072,164
50,1.25,30000,7,5.51387,104,2.5194,162
50,1.25,30000,7,5.49552,103,2.78897,169
50,1.25,30000,7,5.49432,102,2.63234,167
50,1.25,30000,7,5.51114,103,2.56935,181
50,1.25,35000,7,7.50468,106,3.02387,169
50,1.25,35000,7,7.48191,102,2.72194,163
50,1.25,35000,7,7.479,103,3.12635,163
50,1.25,35000,7,7.4933,102,1.81028,155
50,1.25,35000,7,7.50358,102,2.4357,166
50,1.25,35000,7,7.47978,102,2.89441,164
50,1.25,35000,7,7.49558,105,3.18892,162
50,1.25,35000,7,7.48334,106,3.05299,167
50,1.25,35000,7,7.5071,102,2.34926,169
50,1.25,35000,7,7.50227,105,2.76436,162
50,1.25,40000,7,9.83381,104,3.72448,162
50,1.25,40000,7,9.79977,103,3.34339,162
50,1.25,40000,7,9.79965,104,3.23022,162
50,1.25,40000,7,9.80078,106,2.98413,162
50,1.25,40000,7,9.80345,105,3.21043,164
50,1.25,40000,7,9.80092,106,3.36974,167
50,1.25,40000,7,9.81348,104,3.46933,160
50,1.25,40000,7,9.80369,104,3.32486,158
50,1.25,40000,7,9.77264,109,3.35536,162
50,1.25,40000,7,9.78332,106,2.0307,160
50,1.25,45000,8,12.3704,103,3.9399,158
50,1.25,45000,8,12.3663,105,4.07082,169
50,1.25,45000,8,12.4042,106,4.53582,158
50,1.25,45000,8,12.3998,105,4.16177,166
50,1.25,45000,8,12.409,106,4.82742,163
50,1.25,45000,8,12.4054,104,4.45358,158
50,1.25,45000,8,12.4093,104,3.5676,158
50,1.25,45000,8,12.3726,105,3.57549,158
50,1.25,45000,8,12.4073,105,4.22318,158
50,1.25,45000,8,12.4069,103,5.90694,162
50,1.25,50000,8,15.3833,107,4.2453,164
50,1.25,50000,8,15.3888,104,3.95616,158
50,1.25,50000,8,15.319,102,4.48705,169
50,1.25,50000,8,15.2726,108,5.24972,159
50,1.25,50000,8,15.3162,106,4.69046,167
50,1.25,50000,8,15.3387,103,4.6013,158
50,1.25,50000,8,15.3191,103,5.18912,166
50,1.25,50000,8,15.3805,104,2.31544,166
50,1.25,50000,8,15.2638,105,3.21412,167
50,1.25,50000,8,15.3168,107,2.71459,153
50,1.25,55000,8,18.5734,104,5.6368,169
50,1.25,55000,8,18.4749,105,5.21872,166
50,1.25,55000,8,18.4835,106,4.95669,158
50,1.25,55000,8,18.5093,106,4.48165,158
50,1.25,55000,8,18.4776,106,5.38004,167
50,1.25,55000,8,18.4727,104,5.10668,166
50,1.25,55000,8,18.4797,105,5.68195,163
50,1.25,55000,8,18.48,106,5.3007,166
