k,eps,length,L,dynprog-time,dynprog-res,LCSk-LSH-time,LCSk-LSH-res
10,1,5000,5,0.153511,32,0.306439,39
10,1,5000,5,0.152869,34,0.295503,38
10,1,5000,5,0.153243,33,0.158113,38
10,1,5000,5,0.153918,36,0.0933003,41
10,1,5000,5,0.153057,35,0.306534,39
10,1,5000,5,0.153534,34,0.187106,37
10,1,5000,5,0.152776,32,0.264314,36
10,1,5000,5,0.153569,32,0.301503,39
10,1,5000,5,0.153097,33,0.159371,37
10,1,5000,5,0.152839,33,0.236075,39
10,1,10000,7,0.613058,34,0.700586,38
10,1,10000,7,0.612836,35,0.922233,41
10,1,10000,7,0.611205,35,0.916837,43
10,1,10000,7,0.611641,34,0.471395,38
10,1,10000,7,0.612752,36,0.574146,43
10,1,10000,7,0.612427,38,0.913738,41
10,1,10000,7,0.61317,40,0.568191,43
10,1,10000,7,0.612998,35,0.910169,43
10,1,10000,7,0.613153,43,0.494499,42
10,1,10000,7,0.611316,35,0.936532,43
10,1,15000,8,1.38016,38,1.59826,41
10,1,15000,8,1.3786,36,1.67703,43
10,1,15000,8,1.37951,37,1.60681,41
10,1,15000,8,1.37871,37,0.53611,36
10,1,15000,8,1.37473,36,1.28127,43
10,1,15000,8,1.37687,38,1.03493,43
10,1,15000,8,1.37846,58,1.66816,58
10,1,15000,8,1.37696,35,1.24067,41
10,1,15000,8,1.37593,35,0.827244,39
10,1,15000,8,1.37514,39,0.76142,41
10,1,20000,9,2.44669,37,2.58542,42
10,1,20000,9,2.44158,50,1.25396,49
10,1,20000,9,2.45256,45,2.58618,44
10,1,20000,9,2.44158,36,0.883516,39
10,1,20000,9,2.44314,37,1.95437,43
10,1,20000,9,2.43859,35,1.07305,40
10,1,20000,9,2.44508,53,0.997949,49
10,1,20000,9,2.46091,40,1.54836,41
10,1,20000,9,2.44876,36,2.55794,45
10,1,20000,9,2.44737,35,2.44198,41
10,1,25000,10,3.82433,41,3.56204,43
10,1,25000,10,3.82117,55,4.21943,58
10,1,25000,10,3.82181,39,3.55696,41
10,1,25000,10,3.82233,44,3.52803,43
10,1,25000,10,3.81382,47,3.93483,45
10,1,25000,10,3.81674,75,3.88775,73
10,1,25000,10,3.81988,40,1.84718,39
10,1,25000,10,3.8192,37,1.17514,34
10,1,25000,10,3.82121,55,3.86021,50
10,1,25000,10,3.81576,38,2.7838,44
10,1,30000,11,5.49573,39,4.41133,42
10,1,30000,11,5.49257,37,3.66265,41
10,1,30000,11,5.49227,38,2.35121,38
10,1,30000,11,5.49583,57,5.41606,55
10,1,30000,11,5.50207,36,2.8782,43
10,1,30000,11,5.50443,67,4.31063,62
10,1,30000,11,5.51204,52,5.25867,52
10,1,30000,11,5.50485,37,2.4184,38
10,1,30000,11,5.50203,56,5.34145,62
10,1,30000,11,5.50422,37,2.02059,39
10,1,35000,12,7.4957,38,2.71167,38
