k,eps,length,L,dynprog-time,dynprog-res,LCSk-LSH-time,LCSk-LSH-res
10,1.5,5000,2,0.153537,32,0.051486,44
10,1.5,5000,2,0.153085,34,0.111849,44
10,1.5,5000,2,0.152853,36,0.0778984,47
10,1.5,5000,2,0.152617,33,0.0434724,44
10,1.5,5000,2,0.152714,31,0.110724,44
10,1.5,5000,2,0.152668,32,0.10981,42
10,1.5,5000,2,0.15264,35,0.115974,44
10,1.5,5000,2,0.152894,33,0.112968,45
10,1.5,5000,2,0.152985,34,0.10937,45
10,1.5,5000,2,0.152773,33,0.0397709,45
10,1.5,10000,3,0.610273,33,0.157479,41
10,1.5,10000,3,0.610138,34,0.154015,43
10,1.5,10000,3,0.609816,35,0.162228,49
10,1.5,10000,3,0.60988,34,0.240992,45
10,1.5,10000,3,0.61012,35,0.119646,45
10,1.5,10000,3,0.610991,33,0.119816,45
10,1.5,10000,3,0.6121,33,0.213433,45
10,1.5,10000,3,0.609841,35,0.217449,52
10,1.5,10000,3,0.60952,35,0.155851,47
10,1.5,10000,3,0.610337,34,0.218671,43
10,1.5,15000,3,1.37276,35,0.36508,47
10,1.5,15000,3,1.39132,36,0.390958,46
10,1.5,15000,3,1.38084,35,0.233318,47
10,1.5,15000,3,1.37283,35,0.57212,47
10,1.5,15000,3,1.37292,37,0.562014,48
10,1.5,15000,3,1.37362,35,0.576696,47
10,1.5,15000,3,1.37464,35,0.314367,47
10,1.5,15000,3,1.37273,34,0.378911,47
10,1.5,15000,3,1.37138,35,0.549497,52
10,1.5,15000,3,1.37103,34,0.256987,49
10,1.5,20000,4,2.441,36,0.529432,48
10,1.5,20000,4,2.43888,35,0.997995,50
10,1.5,20000,4,2.44023,36,0.768276,45
10,1.5,20000,4,2.44103,35,1.04637,47
10,1.5,20000,4,2.43827,35,0.481347,49
10,1.5,20000,4,2.43896,34,1.09683,45
10,1.5,20000,4,2.43849,35,0.62103,45
10,1.5,20000,4,2.44137,35,0.48023,49
10,1.5,20000,4,2.43802,34,0.470371,44
10,1.5,20000,4,2.43866,36,0.515295,46
10,1.5,25000,4,3.81224,36,1.34931,50
10,1.5,25000,4,3.81781,36,0.417165,46
10,1.5,25000,4,3.81533,35,0.946082,52
10,1.5,25000,4,3.80736,36,0.651087,47
10,1.5,25000,4,3.81203,36,0.667267,50
10,1.5,25000,4,3.80977,35,1.33383,49
10,1.5,25000,4,3.80897,37,0.504646,45
10,1.5,25000,4,3.81028,36,0.495843,49
10,1.5,25000,4,3.81562,37,1.14588,47
10,1.5,25000,4,3.81804,37,1.18138,45
10,1.5,30000,4,5.49506,35,1.64493,52
10,1.5,30000,4,5.48439,37,1.25102,47
10,1.5,30000,4,5.48595,35,1.62295,49
10,1.5,30000,4,5.48786,36,1.55904,52
10,1.5,30000,4,5.48704,36,0.817487,50
10,1.5,30000,4,5.48666,35,0.9005,47
10,1.5,30000,4,5.4921,38,0.636958,45
10,1.5,30000,4,5.4837,35,1.25906,47
