k,eps,length,L,dynprog-time,dynprog-res,LCSk-LSH-time,LCSk-LSH-res
25,1,5000,5,0.153416,65,0.224379,80
25,1,5000,5,0.153541,59,0.203811,78
25,1,5000,5,0.153329,59,0.221226,78
25,1,5000,5,0.153478,58,0.150122,79
25,1,5000,5,0.153389,57,0.210384,80
25,1,5000,5,0.153538,57,0.239131,78
25,1,5000,5,0.153711,73,0.19753,78
25,1,5000,5,0.152575,57,0.234469,80
25,1,5000,5,0.153142,62,0.222394,83
25,1,5000,5,0.153022,63,0.187252,78
25,1,10000,7,0.613155,65,0.564405,78
25,1,10000,7,0.612136,60,0.424748,87
25,1,10000,7,0.611263,62,0.395193,76
25,1,10000,7,0.613597,62,0.620496,78
25,1,10000,7,0.612817,63,0.669257,76
25,1,10000,7,0.612611,66,0.713677,78
25,1,10000,7,0.612856,61,0.375474,78
25,1,10000,7,0.612588,61,0.571074,74
25,1,10000,7,0.610592,60,0.650988,83
25,1,10000,7,0.613268,61,0.627573,88
25,1,15000,8,1.37849,67,1.23205,78
25,1,15000,8,1.37867,63,1.02201,82
25,1,15000,8,1.37867,63,1.17854,93
25,1,15000,8,1.37561,65,0.56141,86
25,1,15000,8,1.37538,73,1.1359,86
25,1,15000,8,1.3756,78,1.1727,77
25,1,15000,8,1.37619,64,0.970075,83
25,1,15000,8,1.3777,62,1.16141,83
25,1,15000,8,1.37798,63,1.14252,82
25,1,15000,8,1.3772,61,1.06023,79
25,1,20000,9,2.44606,63,1.86883,79
25,1,20000,9,2.44349,67,1.77455,82
25,1,20000,9,2.44641,66,1.38795,81
25,1,20000,9,2.44756,69,1.58063,82
25,1,20000,9,2.44619,63,1.68954,79
25,1,20000,9,2.44392,75,1.92254,81
25,1,20000,9,2.44838,64,1.16955,81
25,1,20000,9,2.44894,63,1.00624,84
25,1,20000,9,2.44557,64,1.09146,79
25,1,20000,9,2.4447,69,2.14511,81
25,1,25000,10,3.82341,64,2.12145,79
25,1,25000,10,3.82721,63,2.59487,81
25,1,25000,10,3.82121,63,2.62061,81
25,1,25000,10,3.82525,63,2.42303,82
25,1,25000,10,3.8256,66,2.2537,84
25,1,25000,10,3.82211,63,2.90244,85
25,1,25000,10,3.82115,64,2.53303,79
25,1,25000,10,3.82298,63,2.6239,84
25,1,25000,10,3.8244,66,2.7645,78
25,1,25000,10,3.83147,67,2.26439,81
25,1,30000,11,5.50672,73,4.22913,77
25,1,30000,11,5.5183,84,2.73113,84
25,1,30000,11,5.50375,82,2.83399,81
25,1,30000,11,5.50983,1235,8.71902,1237
25,1,30000,11,5.50106,75,2.4177,78
25,1,30000,11,5.50099,67,3.4777,76
25,1,30000,11,5.50352,93,3.51065,107
25,1,30000,11,5.50614,66,2.0562,78
25,1,30000,11,5.50708,92,3.61879,86
25,1,30000,11,5.50379,76,3.86307,83
25,1,35000,12,7.49172,66,4.6017,87
25,1,35000,12,7.48792,63,2.48208,84
25,1,35000,12,7.49475,81,4.39789,83
25,1,35000,12,7.51129,67,4.14072,81
25,1,35000,12,7.49811,76,5.81593,83
25,1,35000,12,7.48892,71,2.97873,84
25,1,35000,12,7.50415,67,4.52682,81
