k,eps,length,L,dynprog-time,dynprog-res,LCSk-LSH-time,LCSk-LSH-res
50,1.75,5000,2,0.153204,97,0.0936127,198
50,1.75,5000,2,0.153355,97,0.0931722,188
50,1.75,5000,2,0.153166,97,0.0827863,189
50,1.75,5000,2,0.153891,98,0.0961885,193
50,1.75,5000,2,0.153174,98,0.0950982,202
50,1.75,5000,2,0.15343,97,0.0926708,198
50,1.75,5000,2,0.153786,96,0.0952851,202
50,1.75,5000,2,0.153191,98,0.0911925,202
50,1.75,5000,2,0.153165,96,0.0729214,195
50,1.75,5000,2,0.153742,101,0.09487,194
50,1.75,10000,2,0.613138,100,0.224171,202
50,1.75,10000,2,0.613071,98,0.172121,198
50,1.75,10000,2,0.612448,100,0.208548,204
50,1.75,10000,2,0.612177,99,0.16224,189
50,1.75,10000,2,0.612053,100,0.154045,196
50,1.75,10000,2,0.612881,101,0.203187,204
50,1.75,10000,2,0.612677,99,0.10518,191
50,1.75,10000,2,0.613075,100,0.221575,194
50,1.75,10000,2,0.611573,103,0.114255,192
50,1.75,10000,2,0.611748,103,0.167194,195
50,1.75,15000,3,1.37842,100,0.475217,195
50,1.75,15000,3,1.37832,98,0.532236,195
50,1.75,15000,3,1.37582,100,0.547811,195
50,1.75,15000,3,1.3748,101,0.464116,201
50,1.75,15000,3,1.37448,103,0.485149,199
50,1.75,15000,3,1.37524,101,0.424933,196
50,1.75,15000,3,1.3786,106,0.413225,195
50,1.75,15000,3,1.37938,104,0.547093,193
50,1.75,15000,3,1.37832,101,0.350853,194
50,1.75,15000,3,1.37754,100,0.451874,191
50,1.75,20000,3,2.44428,104,0.691808,206
50,1.75,20000,3,2.44276,103,0.737234,199
50,1.75,20000,3,2.44986,101,0.495386,191
50,1.75,20000,3,2.44881,105,0.799027,199
50,1.75,20000,3,2.44518,104,0.784093,202
50,1.75,20000,3,2.44915,103,0.651185,201
50,1.75,20000,3,2.45025,105,0.654269,195
50,1.75,20000,3,2.44881,105,0.644547,199
50,1.75,20000,3,2.44966,100,0.712456,196
50,1.75,20000,3,2.44415,100,0.715885,192
50,1.75,25000,3,3.82069,104,1.00834,193
50,1.75,25000,3,3.82523,102,0.491876,193
50,1.75,25000,3,3.82894,106,0.678589,195
50,1.75,25000,3,3.82698,104,0.91023,197
50,1.75,25000,3,3.81938,103,0.872285,190
50,1.75,25000,3,3.82648,101,0.995729,195
50,1.75,25000,3,3.82463,101,0.817612,200
50,1.75,25000,3,3.82618,101,0.862826,195
50,1.75,25000,3,3.82358,108,0.975495,195
50,1.75,25000,3,3.82719,101,0.834517,184
50,1.75,30000,3,5.5123,104,1.03694,193
50,1.75,30000,3,5.49746,105,1.03611,195
50,1.75,30000,3,5.49508,101,1.05192,206
50,1.75,30000,3,5.49679,103,0.941353,199
50,1.75,30000,3,5.49845,101,1.10598,204
50,1.75,30000,3,5.49822,105,1.01589,195
50,1.75,30000,3,5.50028,103,1.16044,195
50,1.75,30000,3,5.49629,103,1.01693,206
50,1.75,30000,3,5.49909,106,1.00704,192
50,1.75,30000,3,5.49727,104,0.687676,189
50,1.75,35000,3,7.49886,104,1.28493,203
50,1.75,35000,3,7.5001,106,1.18519,195
50,1.75,35000,3,7.48362,105,0.974998,197
50,1.75,35000,3,7.49812,103,0.996672,187
50,1.75,35000,3,7.49855,103,1.2214,204
50,1.75,35000,3,7.49774,105,1.12876,190
50,1.75,35000,3,7.49975,103,1.31885,205
50,1.75,35000,3,7.50138,105,1.29923,197
50,1.75,35000,3,7.49919,103,0.726301,216
50,1.75,35000,3,7.48393,102,1.28612,209
50,1.75,40000,3,9.79729,108,0.684804,197
50,1.75,40000,3,9.79179,104,1.42342,195
50,1.75,40000,3,9.79463,101,0.852366,187
50,1.75,40000,3,9.77637,104,1.6291,209
50,1.75,40000,3,9.77218,104,1.42602,200
50,1.75,40000,3,9.79657,103,1.61651,191
50,1.75,40000,3,9.79398,106,1.1101,189
50,1.75,40000,3,9.79276,103,1.42973,195
50,1.75,40000,3,9.79483,103,1.61828,198
50,1.75,40000,3,9.7711,107,1.54095,195
50,1.75,45000,4,12.3722,103,2.34946,197
50,1.75,45000,4,12.3722,105,1.31345,193
50,1.75,45000,4,12.3907,106,2.44034,200
50,1.75,45000,4,12.3943,108,2.22621,197
50,1.75,45000,4,12.3663,104,1.93605,197
50,1.75,45000,4,12.3933,103,2.26365,187
50,1.75,45000,4,12.3905,110,2.23533,193
50,1.75,45000,4,12.3931,104,1.35613,195
50,1.75,45000,4,12.3944,103,2.18122,193
50,1.75,45000,4,12.3695,104,2.51443,203
50,1.75,50000,4,15.2667,105,2.76602,191
50,1.75,50000,4,15.273,105,2.16727,190
50,1.75,50000,4,15.2748,104,2.72105,203
50,1.75,50000,4,15.2727,103,1.35906,196
50,1.75,50000,4,15.3039,105,2.28737,189
50,1.75,50000,4,15.3097,106,1.13979,199
50,1.75,50000,4,15.3084,107,2.49826,191
50,1.75,50000,4,15.2695,103,1.60656,192
50,1.75,50000,4,15.2713,105,2.50808,186
50,1.75,50000,4,15.3006,106,2.38109,195
50,1.75,55000,4,18.5177,105,2.86539,193
50,1.75,55000,4,18.5206,105,1.77216,194
50,1.75,55000,4,18.5162,106,2.7172,199
50,1.75,55000,4,18.5195,104,2.79411,199
50,1.75,55000,4,18.5242,106,3.04991,203
50,1.75,55000,4,18.5166,104,2.63393,189
50,1.75,55000,4,18.5162,103,2.87969,196
50,1.75,55000,4,18.5159,104,1.49967,196
50,1.75,55000,4,18.5195,104,2.54586,199
50,1.75,55000,4,18.5144,104,3.0405,195
50,1.75,60000,4,21.9922,105,3.14604,205
50,1.75,60000,4,21.9911,104,1.69952,196
50,1.75,60000,4,21.9961,104,3.06909,197
50,1.75,60000,4,21.9911,105,3.34335,193
50,1.75,60000,4,22.0385,105,2.27162,191
50,1.75,60000,4,22.0357,106,3.27858,193
50,1.75,60000,4,22.0303,106,2.76393,195
50,1.75,60000,4,22.0314,103,3.18024,199
50,1.75,60000,4,22.0358,107,3.05189,199
50,1.75,60000,4,22.0433,103,3.2733,199
