k,eps,length,L,dynprog-time,dynprog-res,LCSk-LSH-time,LCSk-LSH-res
100,1.5,5000,3,0.1749,177,0.215141,351
100,1.5,5000,3,0.174426,177,0.179468,351
100,1.5,5000,3,0.175021,174,0.725233,351
100,1.5,5000,3,0.174361,175,0.238657,348
100,1.5,5000,3,0.174044,177,0.221728,351
100,1.5,5000,3,0.175051,177,0.277818,360
100,1.5,5000,3,0.174714,175,0.138858,340
100,1.5,5000,3,0.174529,181,0.234299,348
100,1.5,5000,3,0.174715,172,0.172442,348
100,1.5,5000,3,0.174724,175,0.274872,348
100,1.5,10000,3,0.698675,180,0.256503,343
100,1.5,10000,3,0.699311,176,0.321334,341
100,1.5,10000,3,0.698112,178,0.512635,351
100,1.5,10000,3,0.697969,183,0.677256,351
100,1.5,10000,3,0.698731,181,0.552478,351
100,1.5,10000,3,0.698914,184,0.215366,338
100,1.5,10000,3,0.698269,175,0.967246,351
100,1.5,10000,3,0.698585,182,0.250501,351
100,1.5,10000,3,0.698451,182,0.380651,346
100,1.5,10000,3,0.698613,186,0.319445,351
100,1.5,15000,4,1.57189,180,0.668199,348
100,1.5,15000,4,1.57263,179,2.1954,350
100,1.5,15000,4,1.572,185,1.24342,347
100,1.5,15000,4,1.57123,182,1.02287,349
100,1.5,15000,4,1.57005,185,0.76724,351
100,1.5,15000,4,1.88055,177,0.739673,349
100,1.5,15000,4,1.56861,179,2.07624,365
100,1.5,15000,4,1.56881,184,2.41403,349
100,1.5,15000,4,1.56397,185,1.62004,349
100,1.5,15000,4,1.57832,186,0.752779,344
100,1.5,20000,4,2.79106,189,2.11805,351
100,1.5,20000,4,2.79058,182,0.969447,351
100,1.5,20000,4,2.79043,184,2.47105,351
100,1.5,20000,4,2.79194,180,3.65798,351
100,1.5,20000,4,2.79143,270,0.786018,346
100,1.5,20000,4,2.79008,183,1.55,351
100,1.5,20000,4,2.79155,180,1.04564,346
100,1.5,20000,4,2.7898,180,2.03734,351
100,1.5,20000,4,2.79678,183,2.50943,370
100,1.5,20000,4,2.79236,181,0.913866,341
100,1.5,25000,4,4.36046,184,2.33023,350
100,1.5,25000,4,4.36061,181,1.67598,350
100,1.5,25000,4,4.36506,186,1.59746,365
100,1.5,25000,4,4.36534,183,6.4657,365
100,1.5,25000,4,4.36518,320,2.56806,353
100,1.5,25000,4,4.35866,183,3.23883,347
100,1.5,25000,4,4.36231,182,2.19955,353
100,1.5,25000,4,4.36642,206,2.78641,353
100,1.5,25000,4,4.35805,185,5.27318,359
100,1.5,25000,4,4.35763,181,1.28735,350
100,1.5,30000,5,6.27981,186,2.20092,342
100,1.5,30000,5,6.28031,184,3.03807,343
100,1.5,30000,5,6.27651,183,5.48951,349
100,1.5,30000,5,6.28262,189,5.33677,351
100,1.5,30000,5,6.27749,185,2.83558,350
100,1.5,30000,5,6.26821,185,2.81682,349
100,1.5,30000,5,6.2827,191,4.91378,351
100,1.5,30000,5,6.28592,186,5.42666,343
100,1.5,30000,5,6.28889,184,6.53416,349
100,1.5,30000,5,6.28693,185,3.12591,380
100,1.5,35000,5,8.54255,188,3.79757,349
100,1.5,35000,5,8.54481,191,2.5775,353
100,1.5,35000,5,8.54836,196,2.72267,341
100,1.5,35000,5,8.55237,183,2.73866,353
100,1.5,35000,5,8.56909,185,2.77854,352
100,1.5,35000,5,8.54722,184,2.74697,358
100,1.5,35000,5,8.54753,183,10.7296,358
100,1.5,35000,5,8.54946,233,4.1157,345
100,1.5,35000,5,8.56254,182,2.62225,353
100,1.5,35000,5,8.54492,189,2.69847,353
100,1.5,40000,5,11.1631,196,8.97306,351
100,1.5,40000,5,11.1562,195,4.98544,351
100,1.5,40000,5,11.1563,188,3.09344,351
100,1.5,40000,5,11.1725,190,7.73372,351
100,1.5,40000,5,11.1641,250,2.87817,347
100,1.5,40000,5,11.1606,183,3.69801,351
100,1.5,40000,5,11.1645,185,9.09765,351
100,1.5,40000,5,11.1774,261,4.51146,346
100,1.5,40000,5,11.1918,186,8.31488,349
100,1.5,40000,5,11.1566,191,15.1162,360
100,1.5,45000,5,14.1298,187,6.88111,345
100,1.5,45000,5,14.1356,235,11.0552,356
100,1.5,45000,5,14.1382,191,11.0027,348
100,1.5,45000,5,14.1409,188,4.1732,348
100,1.5,45000,5,14.1925,186,3.82446,340
100,1.5,45000,5,14.1379,185,7.49457,351
100,1.5,45000,5,14.1357,184,8.69895,351
100,1.5,45000,5,14.1295,227,10.9813,351
100,1.5,45000,5,14.1477,199,7.11287,351
100,1.5,45000,5,14.1287,184,4.92557,342
100,1.5,50000,5,17.4463,233,9.53922,356
100,1.5,50000,5,17.4981,193,6.49481,365
100,1.5,50000,5,17.443,186,12.5855,365
100,1.5,50000,5,17.4544,262,6.26328,359
100,1.5,50000,5,17.4474,190,13.3004,365
100,1.5,50000,5,17.4586,198,7.66999,353
100,1.5,50000,5,17.438,196,7.47674,353
100,1.5,50000,5,17.4522,193,7.64137,365
100,1.5,50000,5,17.4178,198,11.3757,365
100,1.5,50000,5,17.4324,191,7.91424,358
100,1.5,55000,5,21.0881,187,14.3986,354
100,1.5,55000,5,21.1571,188,5.20212,346
100,1.5,55000,5,21.1198,186,7.48094,356
100,1.5,55000,5,21.0835,221,6.26414,348
100,1.5,55000,5,21.1013,188,7.02042,348
100,1.5,55000,5,21.135,220,10.5172,348
100,1.5,55000,5,21.0849,190,6.57038,348
100,1.5,55000,5,21.1249,190,14.073,368
100,1.5,55000,5,21.1207,231,4.8488,343
100,1.5,55000,5,21.1048,197,4.83658,333
100,1.5,60000,6,25.1293,233,8.91799,351
100,1.5,60000,6,25.1267,201,10.2371,351
100,1.5,60000,6,25.13,190,10.4104,358
100,1.5,60000,6,25.155,194,8.35843,343
100,1.5,60000,6,25.1381,906,29.8615,929
100,1.5,60000,6,25.1438,193,25.9666,351
100,1.5,60000,6,25.1402,189,16.4314,347
100,1.5,60000,6,25.1011,248,9.23744,351
100,1.5,60000,6,25.1524,292,13.0982,351
100,1.5,60000,6,25.1148,187,14.9393,351
