k,eps,length,L,dynprog-time,dynprog-res,LCSk-LSH-time,LCSk-LSH-res
10,1,5000,6,0.153723,34,0.325994,39
10,1,5000,6,0.153301,34,0.321606,39
10,1,5000,6,0.164088,35,0.351826,39
10,1,5000,6,0.160916,32,0.335034,34
10,1,5000,6,0.153659,32,0.331174,39
10,1,5000,6,0.153204,50,0.355174,58
10,1,5000,6,0.153636,33,0.284965,19
10,1,5000,6,0.154238,36,0.338417,39
10,1,5000,6,0.153686,33,0.352301,39
10,1,5000,6,0.153364,38,0.294322,29
10,1,10000,6,0.613514,61,1.2155,53
10,1,10000,6,0.633961,41,1.19342,43
10,1,10000,6,0.612878,35,1.18787,43
10,1,10000,6,0.612166,34,1.09508,39
10,1,10000,6,0.614664,35,1.15375,39
10,1,10000,6,0.612466,34,1.15751,39
10,1,10000,6,0.61361,41,1.17893,41
10,1,10000,6,0.613751,36,1.15371,39
10,1,10000,6,0.613609,35,1.20285,39
10,1,10000,6,0.61345,35,1.14889,39
10,1,15000,6,1.37864,50,2.48791,50
10,1,15000,6,1.40947,49,2.47648,47
10,1,15000,6,1.37946,36,2.46076,39
10,1,15000,6,1.37787,36,2.46119,36
10,1,15000,6,1.37926,38,2.45349,40
10,1,15000,6,1.37823,38,2.46165,39
10,1,15000,6,1.378,36,2.47893,39
10,1,15000,6,1.37842,51,2.48914,48
10,1,15000,6,1.38032,36,2.47469,39
10,1,15000,6,1.37665,35,2.45276,39
10,1,20000,6,2.45105,36,4.39333,39
10,1,20000,6,2.45,39,4.19669,34
10,1,20000,6,2.4516,35,4.13149,29
10,1,20000,6,2.44982,36,4.27915,37
10,1,20000,6,2.44863,37,4.1192,29
10,1,20000,6,2.44948,36,4.32444,39
10,1,20000,6,2.45332,38,4.39319,41
10,1,20000,6,2.45088,36,4.39058,39
10,1,20000,6,2.45085,37,4.31351,39
10,1,20000,6,2.45012,35,4.4151,39
10,1,25000,6,3.82777,44,6.60229,42
10,1,25000,6,3.83436,56,6.87069,54
10,1,25000,6,3.82778,36,6.63195,39
10,1,25000,6,3.83442,37,6.67167,36
10,1,25000,6,3.81914,39,6.63745,42
10,1,25000,6,3.8189,37,6.65995,36
10,1,25000,6,3.82596,49,6.6864,48
10,1,25000,6,3.82474,46,6.61647,42
10,1,25000,6,3.82852,38,6.68393,42
10,1,25000,6,3.82642,40,6.67076,42
10,1,30000,6,5.51138,45,9.49774,43
10,1,30000,6,5.51186,50,9.55581,45
10,1,30000,6,5.50541,35,9.53272,43
10,1,30000,6,5.52082,47,9.62447,46
10,1,30000,6,5.51063,45,9.52583,43
10,1,30000,6,5.50007,40,9.53297,37
10,1,30000,6,5.51083,39,9.52983,42
10,1,30000,6,5.51274,37,9.5369,39
10,1,30000,6,5.51258,39,9.54205,43
10,1,30000,6,5.51016,38,9.38333,36
10,1,35000,6,7.50123,38,13.1102,44
10,1,35000,6,7.49889,38,13.0961,42
10,1,35000,6,7.50015,40,13.0279,39
10,1,35000,6,7.50223,50,13.176,51
10,1,35000,6,7.49896,56,13.0871,50
10,1,35000,6,7.49998,39,13.0081,36
10,1,35000,6,7.49973,56,12.967,51
10,1,35000,6,7.50275,55,13.0206,52
10,1,35000,6,7.50899,42,13.058,42
10,1,35000,6,7.49891,43,13.1161,37
10,1,40000,6,9.79761,42,17.0906,43
10,1,40000,6,9.83654,46,17.0924,43
10,1,40000,6,9.79792,42,16.8805,48
10,1,40000,6,9.7966,48,16.8367,45
10,1,40000,6,9.79631,51,17.1131,46
10,1,40000,6,9.79139,40,16.615,39
10,1,40000,6,9.79147,37,16.9258,39
10,1,40000,6,9.78587,37,16.6023,29
10,1,40000,6,9.81115,73,17.0093,68
10,1,40000,6,9.79233,39,17.0789,43
10,1,45000,6,12.3957,50,21.6049,45
10,1,45000,6,12.3926,38,21.4874,37
10,1,45000,6,12.3947,54,21.6019,54
10,1,45000,6,12.3956,48,21.5926,43
10,1,45000,6,12.3956,38,21.3616,34
10,1,45000,6,12.4444,38,21.2004,40
10,1,45000,6,12.4005,37317,130.577,37317
10,1,45000,6,12.4028,44,21.383,40
10,1,45000,6,12.3934,45,21.4359,43
10,1,45000,6,12.3962,52,21.5879,51
10,1,50000,6,15.293,49,26.2435,48
10,1,50000,6,15.3579,38,26.3765,42
10,1,50000,6,15.299,38,26.3579,36
10,1,50000,6,15.2867,37,26.3217,40
10,1,50000,6,15.379,44,26.4441,42
10,1,50000,6,15.3006,43,26.386,42
10,1,50000,6,15.3083,40,26.1257,42
10,1,50000,6,15.3729,50,26.4638,42
10,1,50000,6,15.303,45,26.4007,42
10,1,50000,6,15.3022,62,26.7439,60
10,1,55000,6,18.5265,38,31.986,39
10,1,55000,6,18.6164,38,31.9211,39
10,1,55000,6,18.5037,38,31.8589,37
10,1,55000,6,18.5096,58,32.0616,53
10,1,55000,6,18.5843,49,31.8874,42
10,1,55000,6,18.5164,1213,49.3986,1207
10,1,55000,6,18.5627,58,32.0819,53
10,1,55000,6,18.542,40,31.8117,39
10,1,55000,6,18.507,455,38.8992,458
10,1,55000,6,18.5145,67,32.4143,64
10,1,60000,6,22.0338,72,38.3818,66
10,1,60000,6,22.038,61,38.1946,52
10,1,60000,6,22.1614,42,38.0405,42
10,1,60000,6,22.0633,65,38.0801,58
10,1,60000,6,22.0328,38,38.1243,38
10,1,60000,6,22.0455,40,38.0009,38
10,1,60000,6,22.0361,47,38.05,46
10,1,60000,6,22.1406,59,38.1259,54
10,1,60000,6,22.0414,50,38.2133,50
10,1,60000,6,22.0305,38,38.1747,39
