k,eps,length,L,dynprog-time,dynprog-res,LCSk-LSH-time,LCSk-LSH-res
10,2,5000,2,0.175184,32,0.104826,52
10,2,5000,2,0.175376,34,0.18929,55
10,2,5000,2,0.175212,33,0.165707,53
10,2,5000,2,0.175618,35,0.105641,58
10,2,5000,2,0.175611,34,0.116503,49
10,2,5000,2,0.175284,34,0.144164,55
10,2,5000,2,0.175533,32,0.107049,50
10,2,5000,2,0.17497,33,0.115089,53
10,2,5000,2,0.175397,37,0.138568,55
10,2,5000,2,0.175472,35,0.151058,58
10,2,10000,2,0.701033,36,0.385972,53
10,2,10000,2,0.699207,34,0.4433,51
10,2,10000,2,0.700609,35,0.312616,51
10,2,10000,2,0.699758,36,0.344167,51
10,2,10000,2,0.699807,34,0.485988,55
10,2,10000,2,0.697792,36,0.484963,55
10,2,10000,2,0.699419,34,0.403922,52
10,2,10000,2,0.700092,34,0.316753,50
10,2,10000,2,0.699222,34,0.289034,53
10,2,10000,2,0.699557,37,0.387775,58
10,2,15000,2,1.57309,36,0.628969,51
10,2,15000,2,1.57266,38,0.648907,51
10,2,15000,2,1.57317,35,1.62115,58
10,2,15000,2,1.57276,38,0.645529,54
10,2,15000,2,1.57075,45,0.721639,56
10,2,15000,2,1.58872,42,0.770574,58
10,2,15000,2,1.57284,44,0.840408,50
10,2,15000,2,1.57059,34,0.64303,52
10,2,15000,2,1.57273,36,0.732254,51
10,2,15000,2,1.57314,35,0.636781,53
10,2,20000,2,2.79647,36,1.24266,51
10,2,20000,2,2.79535,53,1.4782,53
10,2,20000,2,2.79909,41,1.30517,58
10,2,20000,2,2.79802,36,1.20807,55
10,2,20000,2,2.79879,39,1.15976,58
10,2,20000,2,2.7948,35,1.18506,53
10,2,20000,2,2.80327,44,1.08531,50
10,2,20000,2,2.79542,37,1.06901,48
10,2,20000,2,2.79867,36,1.26278,53
10,2,20000,2,2.79688,55,1.61565,55
10,2,25000,3,4.36545,38,2.6647,57
10,2,25000,3,4.36789,37,3.61853,57
10,2,25000,3,4.37638,57,3.15441,60
10,2,25000,3,4.36814,50,3.15563,60
10,2,25000,3,4.36819,49,2.90789,60
10,2,25000,3,4.39151,36,2.91236,51
10,2,25000,3,4.39075,36,3.48152,55
10,2,25000,3,4.36742,52,2.54779,54
10,2,25000,3,4.3663,43,2.65078,55
10,2,25000,3,4.39358,36,3.04284,54
10,2,30000,3,6.28569,39,3.52976,51
10,2,30000,3,6.28665,42,3.5289,50
10,2,30000,3,6.28427,38,3.72681,58
10,2,30000,3,6.29757,36,3.96447,58
10,2,30000,3,6.28827,45,6.20463,54
10,2,30000,3,6.27832,40,3.53913,54
10,2,30000,3,6.27604,38,5.11768,56
10,2,30000,3,6.2893,51,3.96123,57
10,2,30000,3,6.27885,59,5.81252,72
10,2,30000,3,6.28264,50,3.73606,56
10,2,35000,3,8.61154,40,6.95329,55
10,2,35000,3,8.55737,18864,49.3333,18864
10,2,35000,3,8.55162,8219,35.1711,8219
10,2,35000,3,8.54736,38,5.14193,51
10,2,35000,3,8.56003,38,7.50961,55
10,2,35000,3,8.54875,43,4.99577,52
10,2,35000,3,8.55396,47,5.57377,55
10,2,35000,3,8.55392,38,5.69763,55
10,2,35000,3,8.55454,78,5.50938,80
10,2,35000,3,8.55546,52,5.08436,59
10,2,40000,3,11.2462,74,8.21539,75
10,2,40000,3,11.2062,69,6.55925,67
10,2,40000,3,11.1774,45,6.30734,55
10,2,40000,3,11.2456,37,6.67402,53
10,2,40000,3,11.2168,50,8.31741,55
10,2,40000,3,11.2324,38,6.6925,52
10,2,40000,3,11.2111,53,7.54098,58
10,2,40000,3,11.198,53,6.90807,63
10,2,40000,3,11.1741,65,7.8086,66
10,2,40000,3,11.1786,67,6.62262,67
10,2,45000,3,14.1347,38,8.12604,52
10,2,45000,3,14.1486,95,8.5979,120
10,2,45000,3,14.1983,51,8.55258,54
10,2,45000,3,14.1434,39,8.42651,55
10,2,45000,3,14.1741,51,8.9418,54
10,2,45000,3,14.1327,38,10.4461,54
10,2,45000,3,14.1481,38,8.05736,50
10,2,45000,3,14.1439,38,8.36339,54
10,2,45000,3,14.1365,40,8.49732,54
10,2,45000,3,14.1507,40,12.058,59
10,2,50000,3,17.4311,54,11.3753,53
10,2,50000,3,17.4502,43,9.81793,48
10,2,50000,3,17.4517,52,10.207,52
10,2,50000,3,17.4402,52,9.66781,51
10,2,50000,3,17.5919,68,13.6706,70
10,2,50000,3,17.4597,40,10.2065,48
10,2,50000,3,17.4469,40,12.6965,60
10,2,50000,3,17.4755,44,10.815,60
10,2,50000,3,17.4437,71,9.91412,66
10,2,50000,3,17.5383,43,10.6335,53
10,2,55000,3,21.1556,53,12.5464,59
10,2,55000,3,21.1252,64,13.3626,73
10,2,55000,3,21.1523,38230,108.71,38230
10,2,55000,3,21.1258,51,15.0435,55
10,2,55000,3,21.1377,57,11.9323,57
10,2,55000,3,21.1406,58,12.3812,59
10,2,55000,3,21.1593,50,12.8178,53
10,2,55000,3,21.1545,53,15.2274,59
10,2,55000,3,21.1626,55,13.4684,59
10,2,55000,3,21.1098,45,15.5112,53
10,2,60000,3,25.1596,43,14.8025,58
10,2,60000,3,25.166,106,19.0363,115
10,2,60000,3,25.1293,80,16.0821,80
10,2,60000,3,25.1418,57,14.5012,55
10,2,60000,3,25.1241,40,16.4744,54
10,2,60000,3,25.1308,43,14.0004,43
10,2,60000,3,25.1307,47,15.5784,54
10,2,60000,3,25.2277,66,14.17,63
10,2,60000,3,25.1638,55,14.9723,56
10,2,60000,3,25.1488,44,14.1131,50
