k,eps,length,L,dynprog-time,dynprog-res,LCSk-LSH-time,LCSk-LSH-res
25,2,5000,2,0.156198,59,0.0696733,109
25,2,5000,2,0.156327,64,0.126182,112
25,2,5000,2,0.156525,57,0.0798511,117
25,2,5000,2,0.156497,58,0.123893,112
25,2,5000,2,0.155891,59,0.0887183,117
25,2,5000,2,0.155764,59,0.0686703,108
25,2,5000,2,0.155948,58,0.138101,117
25,2,5000,2,0.156521,65,0.134345,114
25,2,5000,2,0.15622,59,0.0769823,109
25,2,5000,2,0.156352,60,0.122317,109
25,2,10000,2,0.625487,62,0.304567,117
25,2,10000,2,0.623438,62,0.302166,107
25,2,10000,2,0.624317,62,0.293771,114
25,2,10000,2,0.624228,63,0.303474,117
25,2,10000,2,0.62444,64,0.247356,117
25,2,10000,2,0.62475,60,0.287565,114
25,2,10000,2,0.627577,67,0.180693,110
25,2,10000,2,0.625779,59,0.140374,112
25,2,10000,2,0.625336,61,0.186258,106
25,2,10000,2,0.623465,62,0.246455,112
25,2,15000,2,1.40467,60,0.382419,117
25,2,15000,2,1.40675,60,0.339181,117
25,2,15000,2,1.40873,62,0.46236,109
25,2,15000,2,1.40977,66,0.494168,117
25,2,15000,2,1.40766,62,0.45299,116
25,2,15000,2,1.40885,63,0.443424,117
25,2,15000,2,1.40839,78,0.421473,117
25,2,15000,2,1.40728,62,0.261491,117
25,2,15000,2,1.40643,63,0.352727,110
25,2,15000,2,1.40826,60,0.442395,117
25,2,20000,2,2.49706,71,0.373593,112
25,2,20000,2,2.49917,65,0.330325,113
25,2,20000,2,2.50131,62,0.609721,117
25,2,20000,2,2.50453,65,0.392014,107
25,2,20000,2,2.49723,63,0.68964,117
25,2,20000,2,2.50186,66,0.671005,117
25,2,20000,2,2.50252,66,0.667376,114
25,2,20000,2,2.49663,66,0.330468,114
25,2,20000,2,2.49761,77,0.700766,110
25,2,20000,2,2.49572,62,0.573985,115
25,2,25000,2,3.90341,76,0.527518,115
25,2,25000,2,3.89818,76,0.618915,115
25,2,25000,2,3.9058,63,0.58069,112
25,2,25000,2,3.89908,67,0.820674,118
25,2,25000,2,3.89833,64,0.588378,118
25,2,25000,2,3.90345,63,0.912078,107
25,2,25000,2,3.90967,64,0.426505,112
25,2,25000,2,3.90762,63,0.767519,115
25,2,25000,2,3.91175,66,0.885072,109
25,2,25000,2,3.90696,62,0.884862,121
25,2,30000,2,5.62822,64,1.09704,117
25,2,30000,2,5.63448,82,0.7869,113
25,2,30000,2,5.62062,83,0.579537,114
25,2,30000,2,5.61887,64,0.929131,117
25,2,30000,2,5.61688,67,0.579812,114
25,2,30000,2,5.62056,64,0.959446,109
25,2,30000,2,5.62763,65,1.0096,117
25,2,30000,2,5.62804,94,0.850944,117
25,2,30000,2,5.62777,63,0.977924,102
25,2,30000,2,5.61545,67,0.803256,109
25,2,35000,3,7.63318,65,2.08701,119
25,2,35000,3,7.66315,87,1.45586,119
25,2,35000,3,7.65929,66,2.02577,119
25,2,35000,3,7.68506,65,1.53186,119
25,2,35000,3,7.64457,67,2.02778,115
25,2,35000,3,7.63456,79,2.0144,127
25,2,35000,3,7.64073,64,1.85514,119
25,2,35000,3,7.64414,64,1.15252,112
25,2,35000,3,7.66002,64,2.04543,116
25,2,35000,3,7.66194,66,1.13997,114
25,2,40000,3,9.98312,88,2.27202,114
25,2,40000,3,9.98541,67,1.7978,115
25,2,40000,3,9.98396,67,1.78819,117
25,2,40000,3,10.0073,73,2.39467,117
25,2,40000,3,9.98794,69,1.87988,114
25,2,40000,3,9.98403,68,1.88895,117
25,2,40000,3,9.98639,201,4.25795,312
25,2,40000,3,9.98742,69,1.71706,111
25,2,40000,3,9.97818,73,2.092,109
25,2,40000,3,10.0386,73,2.28675,112
25,2,45000,3,12.669,139,1.71111,139
25,2,45000,3,12.6737,77,1.4888,111
25,2,45000,3,12.6297,1244,3.04437,1253
25,2,45000,3,12.6729,123,2.69169,153
25,2,45000,3,12.6511,75,2.62611,120
25,2,45000,3,12.6497,67,2.35894,120
25,2,45000,3,12.6372,70,2.14856,114
25,2,45000,3,12.6335,111,2.15069,115
25,2,45000,3,12.7223,65,2.91139,109
25,2,45000,3,12.6658,70,2.03495,114
