k,eps,length,L,dynprog-time,dynprog-res,LCSk-LSH-time,LCSk-LSH-res
50,1.75,5000,2,0.156262,97,0.120021,195
50,1.75,5000,2,0.156726,98,0.124948,195
50,1.75,5000,2,0.156765,97,0.133463,204
50,1.75,5000,2,0.156475,98,0.128574,195
50,1.75,5000,2,0.156322,99,0.120234,192
50,1.75,5000,2,0.156053,98,0.0775736,191
50,1.75,5000,2,0.156325,104,0.131473,195
50,1.75,5000,2,0.156647,98,0.11757,190
50,1.75,5000,2,0.15652,97,0.125766,185
50,1.75,5000,2,0.155978,98,0.0717978,190
50,1.75,10000,2,0.624815,102,0.265299,192
50,1.75,10000,2,0.623987,101,0.308962,195
50,1.75,10000,2,0.624617,99,0.229934,195
50,1.75,10000,2,0.62592,102,0.281971,195
50,1.75,10000,2,0.626576,102,0.325043,190
50,1.75,10000,2,0.626354,101,0.228648,193
50,1.75,10000,2,0.625842,102,0.329808,199
50,1.75,10000,2,0.625774,99,0.29028,190
50,1.75,10000,2,0.624623,102,0.291322,192
50,1.75,10000,2,0.624771,101,0.317766,195
50,1.75,15000,3,1.40971,104,0.702216,196
50,1.75,15000,3,1.40961,101,0.532156,192
50,1.75,15000,3,1.43723,103,0.749923,194
50,1.75,15000,3,1.40958,101,0.70627,196
50,1.75,15000,3,1.40901,101,0.743181,204
50,1.75,15000,3,1.40719,101,0.601561,203
50,1.75,15000,3,1.40451,100,0.709792,189
50,1.75,15000,3,1.40693,100,0.739712,196
50,1.75,15000,3,1.40705,100,0.713739,192
50,1.75,15000,3,1.40657,105,0.68944,204
50,1.75,20000,3,2.49717,103,1.05874,195
50,1.75,20000,3,2.49952,103,1.00242,204
50,1.75,20000,3,2.49852,103,1.05251,192
50,1.75,20000,3,2.49529,101,1.0903,195
50,1.75,20000,3,2.49738,101,0.974346,190
50,1.75,20000,3,2.49567,103,0.907884,192
50,1.75,20000,3,2.49553,101,1.06983,195
50,1.75,20000,3,2.50043,101,0.782618,195
50,1.75,20000,3,2.49885,102,0.997676,204
50,1.75,20000,3,2.49906,102,1.14863,195
50,1.75,25000,3,3.90483,104,1.07167,188
50,1.75,25000,3,3.90147,102,0.630767,186
50,1.75,25000,3,3.89977,103,1.21981,195
50,1.75,25000,3,3.90501,106,1.35222,201
50,1.75,25000,3,3.89963,104,0.915923,195
50,1.75,25000,3,3.89924,103,1.27895,195
50,1.75,25000,3,3.90224,102,1.03556,193
50,1.75,25000,3,3.92425,102,1.03911,195
50,1.75,25000,3,3.90523,102,1.2107,191
50,1.75,25000,3,3.90332,100,1.25975,195
50,1.75,30000,3,5.62311,102,1.66381,199
50,1.75,30000,3,5.62296,101,1.5639,204
50,1.75,30000,3,5.62282,103,0.831296,189
50,1.75,30000,3,5.62397,104,1.45787,192
50,1.75,30000,3,5.62199,101,1.33478,195
50,1.75,30000,3,5.63179,104,1.06597,196
50,1.75,30000,3,5.6512,104,1.41739,196
50,1.75,30000,3,5.63712,103,1.09165,200
50,1.75,30000,3,5.62364,102,1.66566,196
50,1.75,30000,3,5.63341,103,1.21216,204
50,1.75,35000,3,7.66352,103,1.41942,190
50,1.75,35000,3,7.66642,103,1.18689,195
50,1.75,35000,3,7.66571,105,2.03133,204
50,1.75,35000,3,7.64458,102,1.99741,204
50,1.75,35000,3,7.6451,105,0.959775,196
50,1.75,35000,3,7.64241,104,2.29756,193
50,1.75,35000,3,7.64408,102,1.0946,195
50,1.75,35000,3,7.66969,104,2.05721,195
50,1.75,35000,3,7.64557,107,1.52189,197
50,1.75,35000,3,7.64557,101,1.84825,195
50,1.75,40000,3,9.98721,109,2.07474,195
50,1.75,40000,3,10.0154,104,2.39523,195
50,1.75,40000,3,9.98831,103,1.95134,204
50,1.75,40000,3,10.0133,103,2.36903,195
50,1.75,40000,3,10.0262,105,1.68622,204
50,1.75,40000,3,10.0363,104,2.30369,195
50,1.75,40000,3,10.011,104,2.29068,195
50,1.75,40000,3,10.0094,102,1.99474,191
50,1.75,40000,3,9.9871,105,1.28781,188
50,1.75,40000,3,10.0113,105,1.18804,188
50,1.75,45000,4,12.6725,105,2.83236,197
50,1.75,45000,4,12.6755,104,2.05233,208
50,1.75,45000,4,12.6731,106,2.80768,197
50,1.75,45000,4,12.6704,106,3.56076,197
50,1.75,45000,4,12.6658,105,2.65222,195
50,1.75,45000,4,12.6714,105,2.17708,194
50,1.75,45000,4,12.6743,105,3.4686,197
50,1.75,45000,4,12.6705,105,2.58931,191
50,1.75,45000,4,12.6685,102,3.76119,194
50,1.75,45000,4,12.6392,103,2.45736,197
50,1.75,50000,4,15.6025,108,4.22333,207
50,1.75,50000,4,15.6041,104,4.29439,195
50,1.75,50000,4,15.6021,107,3.25005,170
50,1.75,50000,4,15.6002,103,3.9231,195
50,1.75,50000,4,15.617,104,3.15985,195
50,1.75,50000,4,15.6057,104,3.62233,195
50,1.75,50000,4,15.6504,103,3.40849,195
50,1.75,50000,4,15.6489,103,3.50352,195
50,1.75,50000,4,15.6461,103,4.0276,188
50,1.75,50000,4,15.7127,105,4.26174,195
50,1.75,55000,4,18.9551,105,4.16351,200
50,1.75,55000,4,18.9518,104,3.82938,200
50,1.75,55000,4,18.954,104,3.92552,192
50,1.75,55000,4,18.9819,105,2.38936,200
50,1.75,55000,4,18.9546,105,4.05089,200
50,1.75,55000,4,18.9098,106,3.49956,200
50,1.75,55000,4,18.9534,108,3.08016,200
50,1.75,55000,4,18.9154,103,4.11932,200
50,1.75,55000,4,18.8808,106,4.14521,200
50,1.75,55000,4,18.9122,110,2.39914,205
50,1.75,60000,4,22.4787,106,2.26819,189
50,1.75,60000,4,22.5009,106,5.01633,200
50,1.75,60000,4,22.5544,104,4.35152,196
50,1.75,60000,4,22.524,106,4.70276,200
50,1.75,60000,4,22.5482,105,5.23901,194
50,1.75,60000,4,22.532,102,5.09088,196
50,1.75,60000,4,22.556,106,4.97627,200
50,1.75,60000,4,22.538,106,4.42952,192
50,1.75,60000,4,22.5302,104,4.95228,200
50,1.75,60000,4,22.5147,106,5.05308,200
