k,eps,length,L,dynprog-time,dynprog-res,LCSk-LSH-time,LCSk-LSH-res
10,1,5000,6,0.162529,34,0.818627,39
10,1,5000,6,0.157062,36,0.784259,36
10,1,5000,6,0.156877,32,1.07066,43
10,1,5000,6,0.157411,31,0.60965,37
10,1,5000,6,0.156611,34,0.760702,39
10,1,5000,6,0.157065,33,0.618651,39
10,1,5000,6,0.156381,31,0.781051,39
10,1,5000,6,0.189622,33,1.01176,39
10,1,5000,6,0.1565,32,0.489267,39
10,1,5000,6,0.156504,33,0.500608,39
10,1,10000,6,0.624417,35,3.08799,41
10,1,10000,6,0.624499,33,2.51439,43
10,1,10000,6,0.62427,34,1.23606,37
10,1,10000,6,0.623771,33,1.95581,39
10,1,10000,6,0.624087,35,1.68004,39
10,1,10000,6,0.6242,34,1.85291,39
10,1,10000,6,0.624055,33,1.10748,36
10,1,10000,6,0.624556,34,2.68389,39
10,1,10000,6,0.623664,33,1.49834,41
10,1,10000,6,0.624497,34,1.45642,39
10,1,15000,6,1.40391,36,3.70087,43
10,1,15000,6,1.40382,39,2.75027,41
10,1,15000,6,1.40341,33,3.22466,39
10,1,15000,6,1.40442,36,3.26924,40
10,1,15000,6,1.40412,33,2.83354,39
10,1,15000,6,1.4041,36,2.68394,40
10,1,15000,6,1.40512,36,2.6942,43
10,1,15000,6,1.4029,36,2.48028,42
10,1,15000,6,1.40373,34,2.56421,37
10,1,15000,6,1.40342,40,2.46753,37
10,1,20000,6,2.4962,35,5.58988,39
10,1,20000,6,2.49415,35,7.80593,39
10,1,20000,6,2.49307,36,5.87637,41
10,1,20000,6,2.4947,35,5.67939,41
10,1,20000,6,2.4953,35,5.52616,39
10,1,20000,6,2.49337,37,4.86398,45
10,1,20000,6,2.49442,35,5.17102,39
10,1,20000,6,2.49445,35,5.9547,41
10,1,20000,6,2.49593,35,4.9906,39
10,1,20000,6,2.4957,35,5.55484,39
10,1,25000,6,3.92388,35,7.04357,44
10,1,25000,6,3.94924,37,7.06505,40
10,1,25000,6,3.89645,34,6.7827,40
10,1,25000,6,3.89553,36,6.94989,39
10,1,25000,6,3.89787,35,7.04879,42
10,1,25000,6,3.8942,37,6.76775,39
10,1,25000,6,3.89558,35,7.365,40
10,1,25000,6,3.8969,36,7.11796,39
10,1,25000,6,3.89672,35,6.66914,41
10,1,25000,6,3.89706,41,6.79813,41
10,1,30000,6,5.61067,35,10.6223,42
10,1,30000,6,5.61055,36,9.78489,38
10,1,30000,6,5.71957,36,9.48101,42
10,1,30000,6,5.61414,35,9.73352,42
10,1,30000,6,5.60883,38,9.75135,42
10,1,30000,6,5.61117,34,10.3071,39
10,1,30000,6,5.61171,36,10.3831,40
10,1,30000,6,5.6113,35,10.4948,43
10,1,30000,6,5.60894,35,9.53139,38
10,1,30000,6,5.61317,37,9.39181,36
10,1,35000,6,7.65065,38,13.7254,40
10,1,35000,6,7.63902,38,13.6945,42
10,1,35000,6,7.63839,37,13.9945,40
10,1,35000,6,7.63607,36,13.3219,42
10,1,35000,6,7.63548,35,14.6192,40
10,1,35000,6,7.64045,36,13.462,39
10,1,35000,6,7.67679,37,13.0193,40
10,1,35000,6,7.63912,36,13.7103,40
10,1,35000,6,7.63548,35,14.6186,42
10,1,35000,6,7.63789,37,14.2486,42
10,1,40000,6,9.97517,37,21.1633,39
10,1,40000,6,9.97586,36,21.7212,43
10,1,40000,6,9.9767,36,17.2098,39
10,1,40000,6,9.97434,37,18.2055,39
10,1,40000,6,9.97257,36,20.3483,36
10,1,40000,6,9.97409,36,23.0681,43
10,1,40000,6,10.036,35,23.9613,41
10,1,40000,6,9.97496,37,19.2088,41
10,1,40000,6,9.97528,39,18.1296,43
10,1,40000,6,9.976,37,16.8135,39
10,1,45000,6,12.6289,39,21.4996,41
10,1,45000,6,12.6285,38,22.7127,41
10,1,45000,6,12.631,36,22.2679,41
10,1,45000,6,12.6274,39,22.0812,39
10,1,45000,6,12.6294,37,21.5897,41
10,1,45000,6,12.7149,37,22.5751,37
10,1,45000,6,12.6315,37,21.9026,37
10,1,45000,6,12.6529,40,23.0397,43
10,1,45000,6,12.6268,36,21.5743,37
10,1,45000,6,12.6251,37,23.3996,41
10,1,50000,6,15.5859,37,28.1401,45
10,1,50000,6,15.5947,39,27.5293,42
10,1,50000,6,15.597,37,27.4418,38
10,1,50000,6,15.5859,37,29.4094,38
10,1,50000,6,15.5879,38,28.5698,43
10,1,50000,6,15.5866,35,26.4983,40
10,1,50000,6,15.5902,37,26.69,37
10,1,50000,6,15.5876,38,26.9199,39
10,1,50000,6,15.5897,38,28.1522,42
10,1,50000,6,15.5886,37,27.4696,39
10,1,55000,6,18.8624,37,32.7886,38
10,1,55000,6,18.8638,36,32.0519,37
10,1,55000,6,18.8626,37,33.1531,40
10,1,55000,6,18.8676,37,32.3183,36
10,1,55000,6,18.8701,41,32.8924,42
10,1,55000,6,18.8599,37,32.9131,39
10,1,55000,6,18.8709,39,35.2551,40
10,1,55000,6,18.8803,37,36.8911,39
10,1,55000,6,18.8599,37,32.7786,39
10,1,55000,6,18.8617,39,32.351,38
10,1,60000,6,22.4494,36,40.4991,43
10,1,60000,6,22.5395,37,40.4298,42
10,1,60000,6,22.454,37,41.0014,39
10,1,60000,6,22.4515,37,39.5255,38
10,1,60000,6,22.4469,36,40.3635,41
10,1,60000,6,22.4487,37,39.676,41
10,1,60000,6,22.4491,36,38.5046,41
10,1,60000,6,22.4492,39,43.8267,41
10,1,60000,6,22.4499,39,40.4999,39
10,1,60000,6,22.448,39,40.1978,39
