k,eps,length,L,dynprog-time,dynprog-res,LCSk-LSH-time,LCSk-LSH-res
100,1,5000,6,0.31625,176,0.5238,284
100,1,5000,6,0.174047,171,0.371702,279
100,1,5000,6,0.174137,175,0.564057,287
100,1,5000,6,0.174173,171,1.1208,282
100,1,5000,6,0.174252,171,0.362903,282
100,1,5000,6,0.174284,171,0.442219,278
100,1,5000,6,0.174305,174,0.726754,282
100,1,5000,6,0.174349,172,0.800911,282
100,1,5000,6,0.174279,173,1.37506,287
100,1,5000,6,0.174501,174,0.249493,275
100,1,10000,8,0.69621,175,0.61509,279
100,1,10000,8,0.696672,176,1.19094,279
100,1,10000,8,0.696423,176,2.07077,292
100,1,10000,8,0.696447,178,0.510031,276
100,1,10000,8,0.696417,176,0.769824,278
100,1,10000,8,0.696942,181,3.35543,292
100,1,10000,8,0.696439,181,0.96947,282
100,1,10000,8,0.696443,178,0.804995,282
100,1,10000,8,0.696272,176,1.95656,282
100,1,10000,8,0.696742,176,2.6456,287
100,1,15000,9,1.56701,181,2.13364,292
100,1,15000,9,1.56924,185,1.45516,273
100,1,15000,9,1.56995,178,1.14315,277
100,1,15000,9,1.56952,181,3.07969,284
100,1,15000,9,1.56957,177,5.19084,292
100,1,15000,9,1.56957,179,1.80393,275
100,1,15000,9,1.56752,178,1.86091,282
100,1,15000,9,1.56724,178,2.89806,284
100,1,15000,9,1.56917,175,1.36189,270
100,1,15000,9,1.56949,177,1.23788,271
100,1,20000,10,2.78559,178,5.07684,292
100,1,20000,10,2.78616,182,9.65352,292
100,1,20000,10,2.78522,178,3.10935,279
100,1,20000,10,2.79024,181,3.47968,287
100,1,20000,10,2.78578,176,2.49025,273
100,1,20000,10,2.78585,180,3.53643,292
100,1,20000,10,2.78509,181,2.02864,273
100,1,20000,10,2.78486,184,2.84304,282
100,1,20000,10,2.78488,182,5.78953,287
100,1,20000,10,2.78511,180,2.12348,276
100,1,25000,11,4.35282,183,4.02775,273
100,1,25000,11,4.3527,179,4.59021,292
100,1,25000,11,4.35278,182,4.41081,279
100,1,25000,11,4.35312,178,6.39454,279
100,1,25000,11,4.35329,180,3.83052,282
100,1,25000,11,4.35316,184,10.7291,285
100,1,25000,11,4.35354,182,24.7303,285
100,1,25000,11,4.37218,179,7.30893,276
100,1,25000,11,4.35385,180,6.91321,279
100,1,25000,11,4.43064,183,4.16702,285
100,1,30000,12,6.27003,182,7.5161,284
100,1,30000,12,6.2685,179,5.23483,283
100,1,30000,12,6.26831,186,11.7761,288
100,1,30000,12,6.26888,179,11.7714,292
100,1,30000,12,6.26884,182,11.3823,284
100,1,30000,12,6.2697,180,6.74091,277
100,1,30000,12,6.26952,178,11.5854,292
100,1,30000,12,6.2696,180,7.02542,284
100,1,30000,12,6.29358,181,5.87329,275
100,1,30000,12,6.26866,183,5.34743,274
100,1,35000,13,8.53367,184,11.7882,290
100,1,35000,13,8.57238,179,11.0281,278
100,1,35000,13,8.53214,181,9.69822,283
100,1,35000,13,8.53534,183,10.2723,287
100,1,35000,13,8.55256,185,21.1666,278
100,1,35000,13,8.53201,180,14.6233,290
100,1,35000,13,8.53315,185,9.59642,278
100,1,35000,13,8.53412,180,15.5761,280
100,1,35000,13,8.53435,182,10.8432,290
100,1,35000,13,8.53384,180,14.5718,277
100,1,40000,14,11.1688,183,10.0635,276
100,1,40000,14,11.1482,181,18.1448,289
100,1,40000,14,11.1484,179,21.5061,287
100,1,40000,14,11.2788,184,19.581,292
100,1,40000,14,11.1494,182,9.49984,292
100,1,40000,14,11.1459,182,19.6622,292
100,1,40000,14,11.1624,190,37.6205,287
100,1,40000,14,11.1475,181,20.4236,292
100,1,40000,14,11.148,184,23.0285,287
100,1,40000,14,11.1459,178,10.9074,279
100,1,45000,14,14.1094,182,11.7918,279
100,1,45000,14,14.1085,180,14.7839,279
100,1,45000,14,14.1262,181,15.0503,285
100,1,45000,14,14.1096,181,23.3768,285
100,1,45000,14,14.1504,184,10.5465,285
100,1,45000,14,14.1087,185,13.3989,268
100,1,45000,14,14.1111,180,10.7964,279
100,1,45000,14,14.109,181,12.6311,277
100,1,45000,14,14.1545,183,22.2169,284
100,1,45000,14,14.1075,181,15.5744,279
100,1,50000,15,17.4174,183,46.6559,279
100,1,50000,15,17.488,180,17.2222,288
100,1,50000,15,17.4187,181,17.5509,276
100,1,50000,15,17.4352,182,20.8097,285
100,1,50000,15,17.4181,182,18.004,276
100,1,50000,15,17.4202,181,21.7542,285
100,1,50000,15,17.4205,182,24.1129,279
100,1,50000,15,17.4187,184,29.6044,285
100,1,50000,15,17.4167,179,43.2991,285
100,1,50000,15,17.4203,184,15.5676,276
100,1,55000,15,21.0793,181,17.6706,278
100,1,55000,15,21.0775,181,18.326,273
100,1,55000,15,21.0782,182,41.551,278
100,1,55000,15,21.0797,182,23.8761,280
100,1,55000,15,21.0778,182,17.8897,280
100,1,55000,15,21.1094,186,27.6088,280
100,1,55000,15,21.1121,184,22.9186,294
100,1,55000,15,21.0777,185,19.7243,276
100,1,55000,15,21.0822,185,16.088,276
100,1,55000,15,21.1402,182,18.4357,280
100,1,60000,16,25.0851,183,42.6193,284
100,1,60000,16,25.0881,182,37.0338,275
100,1,60000,16,25.1319,184,36.8542,282
100,1,60000,16,25.0861,183,19.8489,284
100,1,60000,16,25.0841,185,27.8913,276
100,1,60000,16,25.1857,186,28.0187,275
100,1,60000,16,25.0856,183,21.6242,277
100,1,60000,16,25.0865,179,24.1286,275
100,1,60000,16,25.1261,183,23.5553,275
100,1,60000,16,25.0885,181,34.8149,277
