k,eps,length,L,dynprog-time,dynprog-res,LCSk-LSH-time,LCSk-LSH-res
10,1.5,5000,3,0.343924,31,0.352568,48
10,1.5,5000,3,0.175038,32,0.236161,48
10,1.5,5000,3,0.175465,31,0.188788,44
10,1.5,5000,3,0.175577,34,0.264494,48
10,1.5,5000,3,0.17564,33,0.220911,48
10,1.5,5000,3,0.175003,31,0.145032,42
10,1.5,5000,3,0.175884,33,0.158684,45
10,1.5,5000,3,0.175476,34,0.143334,43
10,1.5,5000,3,0.175471,34,0.1574,43
10,1.5,5000,3,0.175551,33,0.144359,41
10,1.5,10000,3,0.700934,34,0.506923,44
10,1.5,10000,3,0.701158,33,0.490132,43
10,1.5,10000,3,0.986901,33,0.573898,41
10,1.5,10000,3,0.702582,35,0.570869,47
10,1.5,10000,3,0.699433,33,0.527717,44
10,1.5,10000,3,0.699872,33,0.494832,43
10,1.5,10000,3,0.699802,36,0.572397,48
10,1.5,10000,3,0.699385,36,0.48718,44
10,1.5,10000,3,0.69984,37,0.527055,48
10,1.5,10000,3,0.699709,33,0.523915,44
10,1.5,15000,4,1.57271,36,2.15552,47
10,1.5,15000,4,1.57218,37,1.40878,44
10,1.5,15000,4,1.57246,35,1.91866,50
10,1.5,15000,4,1.57318,34,1.47937,46
10,1.5,15000,4,1.57282,35,1.43702,43
10,1.5,15000,4,1.57305,34,1.64029,44
10,1.5,15000,4,1.57283,36,1.58807,43
10,1.5,15000,4,1.57264,34,1.43231,46
10,1.5,15000,4,1.57303,35,1.53226,43
10,1.5,15000,4,1.59397,35,1.68265,50
10,1.5,20000,4,2.79544,36,2.66914,48
10,1.5,20000,4,2.79646,37,2.96869,48
10,1.5,20000,4,2.79527,35,3.75711,50
10,1.5,20000,4,2.79523,36,3.30757,46
10,1.5,20000,4,2.79543,37,2.88524,48
10,1.5,20000,4,2.79521,35,3.01568,48
10,1.5,20000,4,2.79595,34,2.70615,50
10,1.5,20000,4,2.79551,34,2.5737,46
10,1.5,20000,4,2.79496,36,2.62181,45
10,1.5,20000,4,2.79613,38,2.71885,48
10,1.5,25000,4,4.36694,41,4.11628,48
10,1.5,25000,4,4.3684,39,4.41501,48
10,1.5,25000,4,4.41259,37,5.05714,45
10,1.5,25000,4,4.36736,36,4.49303,46
10,1.5,25000,4,4.3679,35,4.28361,46
10,1.5,25000,4,4.36746,35,4.6461,48
10,1.5,25000,4,4.36908,34,4.39008,42
10,1.5,25000,4,4.3678,37,4.4814,48
10,1.5,25000,4,4.36831,37,4.20475,47
10,1.5,25000,4,4.36783,34,5.83089,48
10,1.5,30000,5,6.28936,35,7.50844,50
10,1.5,30000,5,6.29123,37,9.08569,50
10,1.5,30000,5,6.2911,35,6.90444,50
10,1.5,30000,5,6.2916,37,7.1364,47
10,1.5,30000,5,6.29343,35,7.3167,48
10,1.5,30000,5,6.29265,36,7.95653,45
10,1.5,30000,5,6.29277,35,7.09922,42
10,1.5,30000,5,6.29351,35,9.31881,50
10,1.5,30000,5,6.29324,35,7.27688,45
10,1.5,30000,5,6.29073,35,6.91838,45
10,1.5,35000,5,8.56406,36,10.8107,49
10,1.5,35000,5,8.5708,35,9.57458,47
10,1.5,35000,5,8.56332,37,9.62943,45
10,1.5,35000,5,8.56347,38,9.94131,45
10,1.5,35000,5,8.56714,36,10.4038,51
10,1.5,35000,5,8.5644,36,10.6444,48
10,1.5,35000,5,8.56316,36,9.09231,45
10,1.5,35000,5,8.56246,35,9.33339,48
10,1.5,35000,5,8.56566,36,9.16852,42
10,1.5,35000,5,8.56396,38,10.3631,46
10,1.5,40000,5,11.1829,36,13.8316,46
10,1.5,40000,5,11.1909,37,12.2333,43
10,1.5,40000,5,11.1874,37,13.636,45
10,1.5,40000,5,11.19,35,12.1912,39
10,1.5,40000,5,11.214,39,12.8947,45
10,1.5,40000,5,11.1822,36,13.6012,48
10,1.5,40000,5,11.189,36,12.8455,45
10,1.5,40000,5,11.1866,38,14.4632,53
