k,eps,length,L,dynprog-time,dynprog-res,LCSk-LSH-time,LCSk-LSH-res
10,1,5000,5,0.159024,34,0.293344,39
10,1,5000,5,0.154094,33,0.290075,41
10,1,5000,5,0.153985,32,0.258373,35
10,1,5000,5,0.153395,34,0.275751,39
10,1,5000,5,0.153659,31,0.273147,34
10,1,5000,5,0.153699,33,0.26261,34
10,1,5000,5,0.154428,36,0.246341,29
10,1,5000,5,0.153981,33,0.271463,36
10,1,5000,5,0.154248,35,0.261888,39
10,1,5000,5,0.154376,33,0.290736,39
10,1,10000,7,0.614282,35,1.30839,39
10,1,10000,7,0.92572,34,1.30886,39
10,1,10000,7,0.612102,36,1.28682,29
10,1,10000,7,0.61257,34,1.39237,39
10,1,10000,7,0.6129,33,1.2827,39
10,1,10000,7,0.612896,34,1.39711,39
10,1,10000,7,0.612411,34,1.39262,39
10,1,10000,7,0.613472,35,1.39284,39
10,1,10000,7,0.613054,34,1.34484,39
10,1,10000,7,0.613505,35,1.32244,39
10,1,15000,8,1.37965,34,3.28836,39
10,1,15000,8,1.37806,35,3.30275,43
10,1,15000,8,1.37838,34,3.28295,39
10,1,15000,8,1.37904,36,3.21782,36
10,1,15000,8,1.37953,33,3.29977,36
10,1,15000,8,1.37913,37,3.30409,38
10,1,15000,8,1.37964,36,3.26061,32
10,1,15000,8,1.37858,34,3.30802,39
10,1,15000,8,1.37841,35,3.30142,43
10,1,15000,8,1.37861,34,3.29573,39
10,1,20000,9,2.44957,37,6.3846,39
10,1,20000,9,2.44749,36,6.58822,39
10,1,20000,9,2.44368,34,6.46401,39
10,1,20000,9,2.44187,34,6.23708,29
10,1,20000,9,2.44214,37,6.53646,39
10,1,20000,9,2.44308,39,6.39335,39
10,1,20000,9,2.44175,34,6.34847,39
10,1,20000,9,2.47203,36,6.28022,29
10,1,20000,9,2.44266,35,6.4256,39
10,1,20000,9,2.44247,36,6.40533,39
10,1,25000,10,3.82396,35,11.1195,42
10,1,25000,10,3.82276,35,11.1156,42
10,1,25000,10,3.81489,37,11.1562,42
10,1,25000,10,3.82234,35,11.0866,36
10,1,25000,10,3.82463,38,11.1471,42
10,1,25000,10,3.82402,35,11.1176,40
10,1,25000,10,3.81468,34,11.1472,39
10,1,25000,10,3.81376,39,11.1556,43
10,1,25000,10,3.82146,34,10.9303,39
10,1,25000,10,3.82221,35,11.1104,42
10,1,30000,11,5.49204,35,17.3944,39
10,1,30000,11,5.49363,36,17.4862,43
10,1,30000,11,5.50486,37,17.4556,43
10,1,30000,11,5.50879,38,17.4844,36
10,1,30000,11,5.49044,37,17.5012,36
10,1,30000,11,5.49039,34,17.5655,39
10,1,30000,11,5.49205,38,17.4909,46
10,1,30000,11,5.5028,36,17.4774,43
10,1,30000,11,5.51512,36,17.3845,36
10,1,30000,11,5.5047,36,17.4293,39
10,1,35000,12,7.47645,35,26.1533,42
10,1,35000,12,7.47463,36,25.8819,42
10,1,35000,12,7.47506,37,26.0698,40
10,1,35000,12,7.47324,35,25.7898,35
10,1,35000,12,7.47567,35,26.103,38
10,1,35000,12,7.52679,37,25.8346,38
10,1,35000,12,7.47675,36,26.0126,38
10,1,35000,12,7.47416,37,26.0984,36
10,1,35000,12,7.49372,35,26.0606,36
10,1,35000,12,7.47603,35,26.041,36
10,1,40000,13,9.78574,37,36.9639,39
10,1,40000,13,9.76247,38,36.2735,39
10,1,40000,13,9.79437,41,36.4585,39
10,1,40000,13,9.7638,38,36.7011,39
10,1,40000,13,9.76351,37,36.5973,39
10,1,40000,13,9.76219,38,35.9684,29
10,1,40000,13,9.81893,35,35.8156,29
10,1,40000,13,9.7603,37,36.4939,39
10,1,40000,13,9.76128,37,36.5613,39
10,1,40000,13,9.76315,37,36.6504,39
10,1,45000,14,12.3644,37,49.9479,37
10,1,45000,14,12.357,37,49.8833,40
10,1,45000,14,12.3663,37,49.9013,41
10,1,45000,14,12.36,41,49.7157,40
10,1,45000,14,12.358,40,50.0946,39
10,1,45000,14,12.355,36,49.3904,40
10,1,45000,14,12.3578,36,50.0026,43
10,1,45000,14,12.3569,40,50.0355,37
10,1,45000,14,12.3594,37,49.9843,37
10,1,45000,14,12.4272,36,50.0297,35
10,1,50000,14,15.2559,37,61.6605,37
10,1,50000,14,15.2584,37,61.6311,37
10,1,50000,14,15.2592,38,61.7225,42
10,1,50000,14,15.2559,38,61.159,39
10,1,50000,14,15.2593,37,61.5708,41
10,1,50000,14,15.2581,37,61.5183,39
10,1,50000,14,15.2601,37,61.6137,38
10,1,50000,14,15.3258,36,61.8056,36
10,1,50000,14,15.257,36,61.5308,36
10,1,50000,14,15.2567,37,61.7777,36
10,1,55000,15,18.4627,38,79.9412,39
10,1,55000,15,18.4964,39,79.7655,39
10,1,55000,15,18.4587,38,80.0663,36
10,1,55000,15,18.4656,40,79.8667,32
10,1,55000,15,18.4927,37,80.0556,39
10,1,55000,15,18.4607,37,79.9138,39
10,1,55000,15,18.4732,38,79.6685,35
10,1,55000,15,18.4654,38,79.9179,39
10,1,55000,15,18.4619,36,80.0407,39
10,1,55000,15,18.4623,37,79.4998,38
10,1,60000,16,22.0217,39,101.355,39
10,1,60000,16,21.9684,38,101.343,39
10,1,60000,16,21.9655,44,101.766,43
10,1,60000,16,21.9866,39,101.338,36
10,1,60000,16,21.9612,38,101.386,36
10,1,60000,16,21.9868,37,101.242,37
10,1,60000,16,21.995,37,101.245,39
10,1,60000,16,21.9708,37,101.697,41
10,1,60000,16,21.9676,39,101.485,39
10,1,60000,16,21.9866,37,101.468,36
