k,eps,length,L,dynprog-time,dynprog-res,LCSk-LSH-time,LCSk-LSH-res
50,1,5000,5,0.171872,99,0.196816,146
50,1,5000,5,0.171828,98,0.343135,146
50,1,5000,5,0.172179,101,0.247484,142
50,1,5000,5,0.171788,98,0.147232,144
50,1,5000,5,0.172574,101,0.263051,156
50,1,5000,5,0.171708,97,0.325768,144
50,1,5000,5,0.171799,101,0.274916,148
50,1,5000,5,0.171989,102,0.309809,151
50,1,5000,5,0.171775,97,0.296928,151
50,1,5000,5,0.172072,99,0.182644,143
50,1,10000,7,0.684894,99,0.458328,138
50,1,10000,7,0.684746,100,0.820289,151
50,1,10000,7,0.684675,99,0.675849,151
50,1,10000,7,0.685258,99,0.818537,143
50,1,10000,7,0.689502,100,0.770338,144
50,1,10000,7,0.684801,97,0.965692,146
50,1,10000,7,0.684717,98,0.576727,156
50,1,10000,7,0.684887,103,0.773553,151
50,1,10000,7,0.684826,98,1.16442,156
50,1,10000,7,0.684875,99,0.999878,151
50,1,15000,8,1.53972,99,1.89817,144
50,1,15000,8,1.53893,102,1.22819,146
50,1,15000,8,1.53882,100,1.81767,153
50,1,15000,8,1.53898,100,1.71491,144
50,1,15000,8,1.53997,100,2.01922,142
50,1,15000,8,1.53963,102,2.09368,146
50,1,15000,8,1.53907,102,2.19576,153
50,1,15000,8,1.53942,99,1.94951,146
50,1,15000,8,1.53904,103,1.91686,146
50,1,15000,8,1.53925,103,1.89938,146
50,1,20000,9,2.7357,103,2.89467,143
50,1,20000,9,2.73599,102,1.83376,137
50,1,20000,9,2.73524,101,2.09304,143
50,1,20000,9,2.73688,102,2.34891,152
50,1,20000,9,2.73997,103,2.12216,146
50,1,20000,9,2.74098,104,1.87094,148
50,1,20000,9,2.73541,102,3.37792,151
50,1,20000,9,2.73586,100,3.02581,143
50,1,20000,9,2.73947,103,2.45111,153
50,1,20000,9,2.73937,102,1.77443,148
50,1,25000,10,4.27765,103,3.13493,145
50,1,25000,10,4.27888,102,4.13524,146
50,1,25000,10,4.27273,104,4.30285,146
50,1,25000,10,4.27242,106,4.19158,146
50,1,25000,10,4.27831,102,4.30782,146
50,1,25000,10,4.27242,101,2.73427,146
50,1,25000,10,4.27916,103,4.09633,158
50,1,25000,10,4.2794,106,3.34997,146
50,1,25000,10,4.27293,101,4.52454,144
50,1,25000,10,4.278,105,4.01382,146
50,1,30000,11,6.15178,109,5.77376,145
50,1,30000,11,6.16077,104,6.06195,146
50,1,30000,11,6.16781,101,6.51628,146
50,1,30000,11,6.16222,103,3.1067,144
50,1,30000,11,6.16102,103,5.88831,144
50,1,30000,11,6.16891,103,4.87314,149
50,1,30000,11,6.15955,104,4.90272,145
50,1,30000,11,6.15307,108,6.06524,146
50,1,30000,11,6.16173,103,4.15352,147
50,1,30000,11,6.16927,104,5.82907,146
50,1,35000,12,8.38637,105,8.8878,148
50,1,35000,12,8.38433,105,5.16668,146
50,1,35000,12,8.37345,103,5.03968,146
50,1,35000,12,8.37435,104,4.57019,145
50,1,35000,12,8.38392,102,6.02263,144
50,1,35000,12,8.38395,104,4.53497,148
50,1,35000,12,8.37439,105,4.85496,141
50,1,35000,12,8.38495,104,5.06577,144
50,1,35000,12,8.37749,103,7.64453,153
50,1,35000,12,8.38599,103,5.23144,146
50,1,40000,13,10.953,106,6.25409,144
50,1,40000,13,10.9528,103,8.5844,146
50,1,40000,13,10.9547,103,7.90472,144
50,1,40000,13,10.9394,103,5.90643,156
50,1,40000,13,10.956,104,10.3382,146
50,1,40000,13,10.9378,105,6.94896,138
50,1,40000,13,10.938,101,10.4839,143
50,1,40000,13,10.9526,107,9.76042,151
50,1,40000,13,10.9385,107,6.74792,144
50,1,40000,13,10.9377,106,10.3866,151
50,1,45000,14,13.8449,105,6.52604,147
50,1,45000,14,13.8463,105,10.3591,142
50,1,45000,14,13.8432,104,9.49709,147
50,1,45000,14,13.8462,105,10.3388,147
50,1,45000,14,13.8659,102,8.2642,147
50,1,45000,14,13.8452,102,11.9879,142
50,1,45000,14,13.8666,105,13.0178,150
50,1,45000,14,13.8669,104,8.39767,141
50,1,45000,14,13.8672,109,12.313,153
50,1,45000,14,13.8651,103,11.965,150
50,1,50000,14,17.093,103,6.91821,139
50,1,50000,14,17.1195,108,7.74551,143
50,1,50000,14,17.1182,103,8.95,146
50,1,50000,14,17.1236,103,13.6941,152
50,1,50000,14,17.1204,108,14.0477,158
50,1,50000,14,17.1208,107,14.1833,142
50,1,50000,14,17.0922,106,13.2271,146
50,1,50000,14,17.1176,103,15.1266,141
50,1,50000,14,17.1208,107,10.7299,144
50,1,50000,14,17.1176,106,14.3996,145
50,1,55000,15,20.6853,103,16.917,153
50,1,55000,15,20.6819,104,7.78268,146
50,1,55000,15,20.6826,105,11.9723,153
50,1,55000,15,20.683,104,11.9629,144
50,1,55000,15,20.685,103,8.72692,146
50,1,55000,15,20.6839,104,8.23116,151
50,1,55000,15,20.6833,107,17.4968,151
50,1,55000,15,20.683,105,16.1034,153
50,1,55000,15,20.684,107,17.129,146
50,1,55000,15,20.6831,107,16.654,144
50,1,60000,16,24.6192,105,21.4515,160
50,1,60000,16,24.6555,104,21.4143,153
50,1,60000,16,24.6199,107,20.3727,149
50,1,60000,16,24.6548,103,12.8281,142
50,1,60000,16,24.6525,106,12.5184,140
50,1,60000,16,24.624,106,19.9611,146
50,1,60000,16,24.6539,106,19.5659,160
50,1,60000,16,24.6166,104,19.6676,142
50,1,60000,16,24.6591,107,16.2585,142
50,1,60000,16,24.6187,104,9.34749,146
