k,eps,length,L,dynprog-time,dynprog-res,LCSk-LSH-time,LCSk-LSH-res
50,2,5000,2,0.176156,100,0.156144,214
50,2,5000,2,0.174967,100,0.119257,224
50,2,5000,2,0.175991,101,0.0717589,211
50,2,5000,2,0.176138,98,0.0948965,216
50,2,5000,2,0.175068,101,0.0718402,209
50,2,5000,2,0.175337,98,0.110211,209
50,2,5000,2,0.175911,98,0.119142,224
50,2,5000,2,0.175714,101,0.0825831,208
50,2,5000,2,0.175233,99,0.123384,224
50,2,5000,2,0.175596,99,0.117877,209
50,2,10000,2,0.70292,101,0.156064,212
50,2,10000,2,0.703857,102,0.183545,205
50,2,10000,2,0.702793,103,0.285272,214
50,2,10000,2,0.702737,106,0.150888,209
50,2,10000,2,0.702212,103,0.289083,214
50,2,10000,2,0.701445,103,0.292695,214
50,2,10000,2,0.70161,102,0.181146,214
50,2,10000,2,0.701559,103,0.279091,229
50,2,10000,2,0.701678,100,0.293391,224
50,2,10000,2,0.70186,100,0.152234,220
50,2,15000,2,1.57753,104,0.474984,219
50,2,15000,2,1.57634,103,0.269212,207
50,2,15000,2,1.57685,105,0.456221,211
50,2,15000,2,1.57623,102,0.459165,234
50,2,15000,2,1.57658,104,0.208275,204
50,2,15000,2,1.57792,104,0.461984,219
50,2,15000,2,1.57671,103,0.443412,215
50,2,15000,2,1.58031,107,0.490896,215
50,2,15000,2,1.57687,104,0.441964,215
50,2,15000,2,1.57652,103,0.273496,211
50,2,20000,2,2.80794,111,0.676993,211
50,2,20000,2,2.80197,105,0.636131,209
50,2,20000,2,2.80469,137,0.618582,210
50,2,20000,2,2.80278,105,0.663105,214
50,2,20000,2,2.80303,106,0.642852,224
50,2,20000,2,2.80406,102,0.658739,211
50,2,20000,2,2.80057,104,0.651735,224
50,2,20000,2,2.80051,106,0.552422,213
50,2,20000,2,2.80067,122,0.401324,214
50,2,20000,2,2.80423,109,0.693463,216
50,2,25000,2,4.39245,107,0.612034,213
50,2,25000,2,4.37845,170,0.700818,211
50,2,25000,2,4.37669,104,0.570337,213
50,2,25000,2,4.37995,104,0.534702,208
50,2,25000,2,4.38103,111,0.572812,213
50,2,25000,2,4.36631,105,0.525401,210
50,2,25000,2,4.38196,106,0.664317,216
50,2,25000,2,4.3718,106,0.593428,212
50,2,25000,2,4.36776,108,0.84795,213
50,2,25000,2,4.38027,180,0.852973,216
50,2,30000,2,6.30232,111,1.08557,219
50,2,30000,2,6.30576,105,0.644683,219
50,2,30000,2,6.30178,105,1.03758,234
50,2,30000,2,6.31163,108,0.571404,218
50,2,30000,2,6.31162,117,1.03907,219
50,2,30000,2,6.31598,108,1.0942,219
50,2,30000,2,6.30274,108,0.65764,215
50,2,30000,2,6.30491,110,1.01992,219
50,2,30000,2,6.30633,108,0.934862,217
50,2,30000,2,6.30465,173,0.517659,205
50,2,35000,3,8.58193,107,0.947517,214
50,2,35000,3,8.58925,125,2.06052,221
50,2,35000,3,8.58484,106,1.08757,214
50,2,35000,3,8.57973,103,2.07952,216
