k,eps,length,L,dynprog-time,dynprog-res,LCSk-LSH-time,LCSk-LSH-res
10,1.5,5000,2,0.153341,34,0.0733158,46
10,1.5,5000,2,0.152846,33,0.0759061,45
10,1.5,5000,2,0.153104,34,0.074752,44
10,1.5,5000,2,0.153175,32,0.0723956,46
10,1.5,5000,2,0.153281,33,0.0481036,44
10,1.5,5000,2,0.153081,35,0.0760737,46
10,1.5,5000,2,0.153054,33,0.0749846,44
10,1.5,5000,2,0.153667,33,0.0672369,44
10,1.5,5000,2,0.153162,31,0.0637876,44
10,1.5,5000,2,0.153295,32,0.0771421,44
10,1.5,10000,3,0.612164,34,0.238513,48
10,1.5,10000,3,0.613036,33,0.254644,46
10,1.5,10000,3,0.6118,33,0.219411,48
10,1.5,10000,3,0.613393,34,0.150808,43
10,1.5,10000,3,0.612202,35,0.254158,47
10,1.5,10000,3,0.612747,37,0.150279,41
10,1.5,10000,3,0.612014,35,0.251677,49
10,1.5,10000,3,0.614211,33,0.228389,42
10,1.5,10000,3,0.612209,34,0.221616,44
10,1.5,10000,3,0.612012,32,0.253791,45
10,1.5,15000,3,1.377,37,0.343852,49
10,1.5,15000,3,1.38224,34,0.369329,45
10,1.5,15000,3,1.37786,34,0.361478,49
10,1.5,15000,3,1.3728,36,0.36307,47
10,1.5,15000,3,1.37669,34,0.396891,51
10,1.5,15000,3,1.3778,36,0.322685,45
10,1.5,15000,3,1.37663,38,0.34122,48
10,1.5,15000,3,1.3771,36,0.181928,43
10,1.5,15000,3,1.37694,36,0.39691,47
10,1.5,15000,3,1.37771,37,0.365141,43
10,1.5,20000,4,2.442,36,0.721011,47
10,1.5,20000,4,2.44356,35,0.330758,47
10,1.5,20000,4,2.44814,35,0.767951,46
10,1.5,20000,4,2.4536,35,0.663764,46
10,1.5,20000,4,2.44742,34,0.342504,48
10,1.5,20000,4,2.44756,34,0.736474,52
10,1.5,20000,4,2.44128,34,0.692118,45
10,1.5,20000,4,2.4481,35,0.719229,55
10,1.5,20000,4,2.45465,36,0.43318,46
10,1.5,20000,4,2.4948,35,0.333376,45
10,1.5,25000,4,3.82088,37,0.863868,52
10,1.5,25000,4,3.82139,35,0.907732,50
10,1.5,25000,4,3.82387,35,0.964532,46
10,1.5,25000,4,3.82219,35,0.785192,47
10,1.5,25000,4,3.82329,38,0.52131,46
10,1.5,25000,4,3.82322,36,0.906145,45
10,1.5,25000,4,3.82549,36,0.550504,45
10,1.5,25000,4,3.8253,37,0.99671,48
10,1.5,25000,4,3.83529,35,0.88398,45
10,1.5,25000,4,3.83511,36,0.641474,52
10,1.5,30000,4,5.5065,35,0.959319,43
10,1.5,30000,4,5.50494,38,1.10268,50
10,1.5,30000,4,5.49408,35,0.817042,47
10,1.5,30000,4,5.5066,36,0.68213,48
10,1.5,30000,4,5.52192,38,0.510847,47
10,1.5,30000,4,5.51851,40,1.03155,50
10,1.5,30000,4,5.52322,36,1.10443,47
10,1.5,30000,4,5.50407,37,0.811752,48
10,1.5,30000,4,5.52073,36,1.07867,47
10,1.5,30000,4,5.50936,35,0.809611,51
10,1.5,35000,5,7.4943,39,1.10213,49
10,1.5,35000,5,7.49645,38,1.63214,42
10,1.5,35000,5,7.4949,37,0.937485,42
10,1.5,35000,5,7.49295,36,1.6734,52
10,1.5,35000,5,7.48826,36,1.62214,45
10,1.5,35000,5,7.49251,38,0.946746,47
10,1.5,35000,5,7.51598,37,1.80734,46
10,1.5,35000,5,7.58196,38,1.6863,48
10,1.5,35000,5,7.51507,36,1.01235,47
10,1.5,35000,5,7.51656,38,1.64145,45
10,1.5,40000,5,9.81198,36,1.14569,45
10,1.5,40000,5,9.79457,37,1.17341,48
10,1.5,40000,5,9.80014,37,0.903501,44
10,1.5,40000,5,9.84404,36,2.08963,46
10,1.5,40000,5,9.80819,36,1.79478,47
10,1.5,40000,5,9.79202,36,1.61959,43
10,1.5,40000,5,9.79293,37,1.77615,47
10,1.5,40000,5,9.76985,36,1.9276,50
10,1.5,40000,5,9.822,37,1.63211,47
10,1.5,40000,5,9.7676,37,1.89824,47
10,1.5,45000,5,12.382,37,2.03493,48
10,1.5,45000,5,12.4173,37,2.29432,46
10,1.5,45000,5,12.427,37,1.16035,41
10,1.5,45000,5,12.3934,37,1.72524,43
10,1.5,45000,5,12.3519,36,2.11888,50
10,1.5,45000,5,12.3837,37,1.95644,43
10,1.5,45000,5,12.3983,38,1.93838,52
10,1.5,45000,5,12.3888,37,2.34405,46
10,1.5,45000,5,12.4556,37,1.96873,39
10,1.5,45000,5,12.4221,38,1.00954,45
10,1.5,50000,5,15.2977,40,2.31386,45
10,1.5,50000,5,15.3037,37,2.57446,46
10,1.5,50000,5,15.2897,37,2.36755,49
10,1.5,50000,5,15.292,37,2.62359,46
10,1.5,50000,5,15.2889,37,1.79786,49
10,1.5,50000,5,15.3004,37,2.55366,46
10,1.5,50000,5,15.2983,36,1.44958,44
10,1.5,50000,5,15.2983,36,1.13679,44
10,1.5,50000,5,15.3281,36,1.43858,41
10,1.5,50000,5,15.3358,37,2.61429,48
10,1.5,55000,5,18.5501,37,2.38173,43
10,1.5,55000,5,18.5558,37,1.95702,43
10,1.5,55000,5,18.5276,38,2.68631,49
10,1.5,55000,5,18.5536,37,2.62787,47
10,1.5,55000,5,18.5078,37,2.56672,47
10,1.5,55000,5,18.5283,35,2.14777,45
10,1.5,55000,5,18.4735,36,1.45753,47
10,1.5,55000,5,18.4595,37,2.30784,46
10,1.5,55000,5,18.4702,37,2.45087,43
10,1.5,55000,5,18.4601,38,2.90653,48
10,1.5,60000,6,22.0222,39,2.86111,44
10,1.5,60000,6,22.0256,36,2.87296,43
10,1.5,60000,6,22.0962,37,2.08607,45
10,1.5,60000,6,22.0238,37,3.75575,44
10,1.5,60000,6,22.0186,37,3.65166,42
10,1.5,60000,6,22.0393,37,3.47355,45
10,1.5,60000,6,21.9884,39,3.62587,42
10,1.5,60000,6,21.9665,40,3.75698,46
10,1.5,60000,6,22.0373,37,3.75018,46
10,1.5,60000,6,22.0172,38,2.09589,46
